time;0;1;2;3;4;5;6;7;8;9
0;(10,0);(8.09017,5.87785);(3.09017,9.51057);(-3.09017,9.51056);(-8.09017,5.87785);(-10,-8.74228e-07);(-8.09017,-5.87785);(-3.09017,-9.51057);(3.09017,-9.51056);(8.09017,-5.87785)
0.005;(9.99994,0);(8.09012,5.87782);(3.09015,9.5105);(-3.09015,9.5105);(-8.09011,5.87781);(-9.99994,-8.74223e-07);(-8.09011,-5.87781);(-3.09015,-9.51051);(3.09015,-9.5105);(8.09011,-5.87781)
0.01;(9.99981,0);(8.09003,5.87775);(3.09011,9.51038);(-3.09011,9.51038);(-8.09,5.87773);(-9.99982,-8.74212e-07);(-8.08999,-5.87772);(-3.09011,-9.51039);(3.09011,-9.51036);(8.09,-5.87773)
0.015;(9.99961,0);(8.08989,5.87765);(3.09005,9.51019);(-3.09005,9.5102);(-8.08983,5.8776);(-9.99964,-8.74196e-07);(-8.08982,-5.8776);(-3.09005,-9.51021);(3.09004,-9.51016);(8.08984,-5.87761)
0.02;(9.99936,4.32242e-40);(8.08971,5.87752);(3.08997,9.50994);(-3.08997,9.50996);(-8.0896,5.87744);(-9.9994,-8.74175e-07);(-8.08958,-5.87743);(-3.08997,-9.50997);(3.08995,-9.50989);(8.08962,-5.87745)
0.025;(9.99904,3.05572e-32);(8.08948,5.87735);(3.08987,9.50964);(-3.08988,9.50966);(-8.08932,5.87723);(-9.99911,-8.7415e-07);(-8.08929,-5.87721);(-3.08988,-9.50967);(3.08984,-9.50955);(8.08934,-5.87725)
0.03;(9.99866,1.6491e-27);(8.08921,5.87716);(3.08975,9.50927);(-3.08976,9.5093);(-8.08898,5.87699);(-9.99875,-8.74119e-07);(-8.08894,-5.87696);(-3.08976,-9.50932);(3.08971,-9.50915);(8.08902,-5.87702)
0.035;(9.99822,2.44114e-24);(8.08889,5.87693);(3.08961,9.50884);(-3.08963,9.50889);(-8.08859,5.8767);(-9.99834,-8.74083e-07);(-8.08854,-5.87667);(-3.08963,-9.50891);(3.08956,-9.50869);(8.08864,-5.87674)
0.04;(9.99771,4.63917e-22);(8.08854,5.87667);(3.08945,9.50836);(-3.08947,9.50841);(-8.08814,5.87638);(-9.99788,-8.74042e-07);(-8.08808,-5.87633);(-3.08948,-9.50844);(3.08939,-9.50816);(8.0882,-5.87642)
0.045;(9.99715,2.46946e-20);(8.08813,5.87637);(3.08928,9.50781);(-3.0893,9.50788);(-8.08764,5.87601);(-9.99735,-8.73996e-07);(-8.08756,-5.87596);(-3.08931,-9.50792);(3.0892,-9.50757);(8.08772,-5.87607)
0.05;(9.99653,5.68282e-19);(8.08769,5.87605);(3.08908,9.50721);(-3.08911,9.5073);(-8.08709,5.87561);(-9.99677,-8.73946e-07);(-8.087,-5.87555);(-3.08912,-9.50734);(3.08899,-9.50692);(8.08718,-5.87568)
0.055;(9.99585,7.30621e-18);(8.0872,5.8757);(3.08887,9.50655);(-3.0889,9.50666);(-8.08648,5.87517);(-9.99614,-8.7389e-07);(-8.08637,-5.87509);(-3.08891,-9.50671);(3.08875,-9.5062);(8.0866,-5.87526)
0.06;(9.99511,6.15603e-17);(8.08667,5.87531);(3.08863,9.50584);(-3.08867,9.50596);(-8.08583,5.8747);(-9.99545,-8.7383e-07);(-8.08569,-5.8746);(-3.08869,-9.50602);(3.0885,-9.50542);(8.08596,-5.8748)
0.065;(9.99431,3.77373e-16);(8.0861,5.8749);(3.08838,9.50507);(-3.08843,9.50521);(-8.08512,5.87418);(-9.99471,-8.73765e-07);(-8.08496,-5.87407);(-3.08845,-9.50528);(3.08823,-9.50458);(8.08528,-5.8743)
0.07;(9.99346,1.80793e-15);(8.08549,5.87445);(3.08811,9.50424);(-3.08817,9.50441);(-8.08436,5.87363);(-9.99392,-8.73696e-07);(-8.08418,-5.8735);(-3.08819,-9.50449);(3.08794,-9.50368);(8.08454,-5.87376)
0.075;(9.99255,7.12226e-15);(8.08484,5.87398);(3.08783,9.50336);(-3.08789,9.50355);(-8.08355,5.87304);(-9.99307,-8.73622e-07);(-8.08335,-5.8729);(-3.08792,-9.50364);(3.08762,-9.50272);(8.08375,-5.87319)
0.08;(9.99158,2.39485e-14);(8.08415,5.87348);(3.08752,9.50242);(-3.08759,9.50264);(-8.08269,5.87241);(-9.99217,-8.73543e-07);(-8.08246,-5.87225);(-3.08763,-9.50274);(3.08729,-9.50171);(8.08292,-5.87259)
0.085;(9.99055,7.06884e-14);(8.08341,5.87294);(3.0872,9.50143);(-3.08728,9.50167);(-8.08178,5.87175);(-9.99122,-8.7346e-07);(-8.08152,-5.87157);(-3.08732,-9.50179);(3.08694,-9.50063);(8.08204,-5.87195)
0.09;(9.98948,1.87156e-13);(8.08264,5.87238);(3.08686,9.50039);(-3.08695,9.50066);(-8.08082,5.87106);(-9.99021,-8.73372e-07);(-8.08054,-5.87085);(-3.08699,-9.50079);(3.08657,-9.49949);(8.08111,-5.87127)
0.095;(9.98834,4.52047e-13);(8.08183,5.87179);(3.08651,9.49929);(-3.0866,9.49959);(-8.07981,5.87032);(-9.98916,-8.7328e-07);(-8.0795,-5.8701);(-3.08665,-9.49974);(3.08619,-9.4983);(8.08013,-5.87056)
0.1;(9.98715,1.00957e-12);(8.08098,5.87118);(3.08613,9.49814);(-3.08624,9.49847);(-8.07875,5.86956);(-9.98805,-8.73183e-07);(-8.07841,-5.86931);(-3.08629,-9.49863);(3.08578,-9.49705);(8.07911,-5.86982)
0.105;(9.98591,2.10757e-12);(8.08009,5.87053);(3.08574,9.49694);(-3.08586,9.4973);(-8.07765,5.86875);(-9.9869,-8.73082e-07);(-8.07727,-5.86848);(-3.08591,-9.49748);(3.08536,-9.49574);(8.07804,-5.86904)
0.11;(9.98461,4.14934e-12);(8.07916,5.86986);(3.08533,9.49568);(-3.08546,9.49608);(-8.0765,5.86792);(-9.98569,-8.72977e-07);(-8.07609,-5.86762);(-3.08552,-9.49627);(3.08491,-9.49438);(8.07693,-5.86823)
0.115;(9.98327,7.76094e-12);(8.0782,5.86916);(3.08491,9.49438);(-3.08505,9.49481);(-8.0753,5.86705);(-9.98444,-8.72867e-07);(-8.07485,-5.86672);(-3.08512,-9.49502);(3.08445,-9.49296);(8.07577,-5.86739)
