tau,E(tau)
0.2,1.96944065
0.21,2.28060619
0.22,2.04553999
0.23,2.00051428
0.24,1.78128817
0.25,1.80151564
0.26,1.76644166
0.27,1.75604139
0.28,1.57403599
0.29,1.5629179
0.3,1.07880966
0.31,1.4200325
0.32,1.04982212
0.33,1.21639532
0.34,1.15976671
0.35,0.794929875
0.36,0.911628719
0.37,0.785670549
0.38,0.880087683
0.39,0.85463465
0.4,0.909370289
0.41,0.968994795
0.42,0.674455048
0.43,0.707605264
0.44,0.542994907
0.45,0.656483196
0.46,0.424333592
0.47,0.506163611
0.48,0.275539686
0.49,0.681265853
0.5,0.400691829
0.51,0.550356463
0.52,0.155934802
0.53,0.351142426
0.54,0.290584832
0.55,0.372520952
0.56,0.277455541
0.57,0.255346692
0.58,0.430782916
0.59,0.351172026
0.6,0.287682072
0.61,0.263238009
0.62,0.497032302
0.63,0.10426101
0.64,0.180323554
0.65,0.178590209
0.66,0.512295132
0.67,0.164828399
0.68,0.314589525
0.69,0.206444384
0.7,0.193785987
0.71,0.200126181
0.72,0.204990357
0.73,0.122602322
0.74,0.247982203
0.75,0.081789433
0.76,0.22434044
0.77,0.0198026273
0.78,0.159372624
0.79,0.197977454
0.8,0.377833169
0.81,0.157628944
0.82,0.141078598
0.83,0.0396091381
0.84,0.24613307
0.85,0.0831775065
0.86,0.293874043
0.87,0.371332102
0.88,0.0398062504
0.89,0.133531393
0.9,0.10648348
0.91,0.325741634
0.92,0.0843071065
0.93,0.132221635
0.94,0.167880873
0.95,0.045809536
0.96,0.143455391
0.97,0.190273885
0.98,0.0449513879
0.99,0.0358094527
1,-0.0148150858
1.01,0.134819223
1.02,-0.0263867552
1.03,0.0315815721
1.04,0.0894450604
1.05,0.097374164
1.06,-0.079617628
1.07,0.0512932944
1.08,0.247836164
1.09,0.298296274
1.1,0.184192465
1.11,-0.0383608679
1.12,0.0314161962
1.13,0.0865092429
1.14,0.100643526
1.15,0.0879118723
1.16,0.0306146358
1.17,0.038151766
1.18,-0.0593165772
1.19,0.250640801
1.2,-0.00516797016
1.21,-0.126999691
1.22,-0.0380998462
1.23,0.0579872577
1.24,0.0110498362
1.25,0.136922376
1.26,0.0460439385
1.27,-0.0162605209
1.28,0.0916303228
1.29,0.174135972
1.3,-0.19549202
1.31,0.184364458
1.32,0.0808520966
1.33,0.0641931576
1.34,-0.156489862
1.35,0.053744276
1.36,-0.00975617495
1.37,0.173663494
1.38,0
1.39,0.0365575957
1.4,0.0263867552
