tau,E(tau),Log tau,
0.4,3.37872453,-0.397940009,0.528752785
0.41,3.8501476,-0.387216143,0.585477379
0.42,3.41224722,-0.37675071,0.533040489
0.43,3.41224722,-0.366531544,0.533040489
0.44,3.29583687,-0.356547324,0.517965708
0.45,3.47609869,-0.346787486,0.541092098
0.46,2.4608091,-0.337242168,0.391077924
0.47,4.35670883,-0.327902142,0.639158536
0.48,2.74084002,-0.318758763,0.437883687
0.49,3.80666249,-0.30980392,0.580544373
0.5,2.71752895,-0.301029996,0.434174179
0.51,3.07961376,-0.292429824,0.488496251
0.52,3.17805383,-0.283996656,0.502161249
0.53,3.00815479,-0.27572413,0.47830018
0.54,2.06897024,-0.26760624,0.315754244
0.55,2.51999797,-0.259637311,0.401400191
0.56,2.67414865,-0.251811973,0.427185545
0.57,2.29141179,-0.244125144,0.360103143
0.58,2.53567898,-0.236572006,0.40409427
0.59,2.05645202,-0.229147988,0.313118581
0.6,2.84296952,-0.22184875,0.453772204
0.61,2.96527307,-0.214670165,0.472064693
0.62,2.52572864,-0.207608311,0.402386689
0.63,2.3877429,-0.200659451,0.377987562
0.64,2.49674111,-0.193820026,0.397373512
0.65,1.8044985,-0.187086643,0.256356525
0.66,1.99655388,-0.180456064,0.300281035
0.67,2.33537492,-0.173925197,0.368356612
0.68,2.51567831,-0.167491087,0.400655105
0.69,1.50990832,-0.161150909,0.178950578
0.7,2.48490665,-0.15490196,0.395310078
0.71,1.84253179,-0.148741651,0.26541499
0.72,1.39871688,-0.142667504,0.145729816
0.73,1.5841201,-0.13667714,0.199788105
0.74,1.68175857,-0.13076828,0.225763649
0.75,1.77070606,-0.124938737,0.248146474
0.76,1.80280931,-0.119186408,0.255949792
0.77,1.45001018,-0.113509275,0.161371051
0.78,1.77195684,-0.107905397,0.248453139
0.79,1.69866905,-0.102372909,0.230108774
0.8,1.38629436,-0.096910013,0.141855456
0.81,1.31661444,-0.091514981,0.119458614
0.82,1.49821228,-0.086186148,0.175573352
0.83,1.46633707,-0.080921908,0.166233814
0.84,1.27122503,-0.075720714,0.104222435
0.85,1.5789787,-0.070581074,0.198376272
0.86,1.9542784,-0.065501549,0.290986432
0.87,1.54368653,-0.060480747,0.188559115
0.88,1.09861229,-0.055517328,0.040844453
0.89,1.19392247,-0.050609993,0.076976126
0.9,1.22644566,-0.045757491,0.088648311
0.91,1.47085175,-0.040958608,0.167568902
0.92,1.23395364,-0.036212173,0.091298843
0.93,1.10966212,-0.031517051,0.045190761
0.94,1.12134054,-0.026872146,0.049737524
0.95,1.57239664,-0.022276395,0.196562107
0.96,1.12718566,-0.017728767,0.051995455
0.97,0.995428052,-0.013228266,-0.001990125
0.98,0.96343751,-0.008773924,-0.016176449
0.99,1.35314215,-0.004364805,0.131343422
1,1.03942342,0,0.016792498
1.01,1.35812348,0.004321374,0.132939258
1.02,1.26369204,0.008600172,0.10164125
1.03,1.33889212,0.012837225,0.126745586
1.04,1.02290047,0.017033339,0.009833378
1.05,1.178655,0.021189299,0.071386703
1.06,0.766172316,0.025305865,-0.115673544
1.07,0.899941594,0.029383778,-0.045785675
1.08,1.5040774,0.033423755,0.177270186
1.09,0.851371186,0.037426498,-0.069881052
1.1,1.21767165,0.041392685,0.085530195
1.11,1.13370361,0.045322979,0.05449953
1.12,0.79078565,0.049218023,-0.10194122
1.13,0.898999235,0.053078443,-0.046240678
1.14,0.693147181,0.056904851,-0.159174539
1.15,0.693147181,0.06069784,-0.159174539
1.16,0.775064303,0.064457989,-0.110662265
1.17,0.506561225,0.068185862,-0.295368057
1.18,0.980829253,0.071882007,-0.00840659
1.19,0.715126087,0.075546961,-0.145617379
1.2,0.94160854,0.079181246,-0.026129611
1.21,0.712195376,0.08278537,-0.14740085
1.22,0.759105148,0.086359831,-0.119698063
1.23,0.405465108,0.089905111,-0.392046513
1.24,0.52806743,0.093421685,-0.277310618
1.25,0.655875786,0.096910013,-0.183178402
1.26,0.393042588,0.100370545,-0.405560389
1.27,0.300754154,0.103803721,-0.521788365
1.28,0.870828358,0.10720997,-0.060067437
1.29,0.760588461,0.11058971,-0.118850268
1.3,0.765467842,0.113943352,-0.11607305
1.31,0.315516871,0.117271296,-0.500977414
1.32,0.417299566,0.120573931,-0.379552067
1.33,0.425667815,0.123851641,-0.370929186
1.34,0.592051064,0.127104798,-0.227640834
1.35,0.315081047,0.130333768,-0.50157772
1.36,0.316669609,0.133538908,-0.499393614
1.37,0.553885113,0.136720567,-0.256580307
1.38,0.693147181,0.139879086,-0.159174539
1.39,0.287682072,0.1430148,-0.541087202
1.4,0.542864978,0.146128036,-0.265308175
1.41,0.394291808,0.149219113,-0.404182246
1.42,0.382208246,0.152288344,-0.417699947
1.43,0.324496046,0.155336037,-0.488790591
1.44,0.534082486,0.158362492,-0.272391663
1.45,0.336472237,0.161368002,-0.473050764
