numberDead, evacTime
13,17.9
16,18.55
14,18.15
15,18.05
13,18.7
14,18.9
13,19.05
18,18.95
17,18.65
16,21.85
13,19.3
14,19.1
17,19.8
11,15.9
16,19.6
17,20.3
14,18.8
15,20.4
12,17.25
12,16.2
17,18
13,17.05
15,19.55
18,19.55
16,17.7
14,19.7
15,20.7
19,19.8
17,19.85
19,20.4
15,19.95
16,19.3
12,19.15
13,20.05
16,20.85
13,19
15,20.45
10,16.65
11,17
14,18.65
15,19.3
15,19.65
12,16.05
15,19.45
13,18.55
12,16.8
14,16.75
8,16.2
16,20.65
10,16.5
14,18.9
13,20.15
16,21.85
15,20.2
18,21.85
18,18.65
10,16.95
11,17.15
13,16.85
16,18.15
12,17.1
15,19.9
20,22.7999
10,16.55
12,17.1
15,20.25
13,18.1
11,16.7
14,17.25
14,20.75
17,21.05
14,19.3
14,19.4
17,19.35
13,18.7
14,19.05
16,21.05
13,17.55
12,18.75
17,18.45
15,17.2
17,19.35
14,19.8
20,22.7499
15,22.0999
20,25.0999
18,18.8
11,16.6
16,20.05
13,18
12,19.2
11,16.4
15,19.8
19,19
14,18.75
13,18.05
16,19.45
19,19.5
15,16.8
9,17.3
