numberDead,evacTime,,,,,,
0,16.6,,,,Mean,med,std dev
2,15.3,,,dead,0.8,0,1.07308674
0,15.15,,,time,15.6155,15.625,0.512849782
0,15.85,,,,,,
6,14.85,,,,,,
0,15.6,,,,,,
1,15.9,,,,,,
0,15.8,,,,,,
0,15.55,,,,,,
0,15.95,,,,,,
0,15.85,,,,,,
3,15.65,,,,,,
1,15.65,,,,,,
0,15.7,,,,,,
0,16.3,,,,,,
0,15.8,,,,,,
2,16.3,,,,,,
2,16.35,,,,,,
2,16,,,,,,
0,15.95,,,,,,
3,15,,,,,,
1,16.05,,,,,,
2,15.15,,,,,,
0,15.55,,,,,,
4,15.75,,,,,,
0,16.55,,,,,,
1,15.6,,,,,,
0,15.3,,,,,,
2,15.2,,,,,,
0,15.95,,,,,,
1,16.2,,,,,,
0,15.8,,,,,,
0,16.1,,,,,,
1,15.6,,,,,,
3,15.6,,,,,,
1,15.6,,,,,,
0,16.1,,,,,,
0,16.3,,,,,,
2,15.5,,,,,,
0,14.05,,,,,,
1,15.85,,,,,,
0,15,,,,,,
0,15.95,,,,,,
0,15.3,,,,,,
0,15.1,,,,,,
0,15.2,,,,,,
0,15.7,,,,,,
0,15.6,,,,,,
2,15.9,,,,,,
0,16.1,,,,,,
2,15.6,,,,,,
0,16,,,,,,
1,15.75,,,,,,
2,15.4,,,,,,
3,15.85,,,,,,
0,15.25,,,,,,
0,15.1,,,,,,
1,14.65,,,,,,
2,15.6,,,,,,
1,15.1,,,,,,
0,16.25,,,,,,
1,14.75,,,,,,
0,15.4,,,,,,
0,15.45,,,,,,
1,15.8,,,,,,
1,16.3,,,,,,
1,15.9,,,,,,
1,15.45,,,,,,
2,15.1,,,,,,
1,16.05,,,,,,
0,15,,,,,,
1,15.55,,,,,,
1,16.1,,,,,,
1,15.25,,,,,,
2,15.95,,,,,,
0,16.9,,,,,,
2,16.45,,,,,,
0,16.4,,,,,,
0,15.4,,,,,,
0,15.9,,,,,,
0,14.7,,,,,,
0,16.15,,,,,,
0,15.15,,,,,,
1,14.8,,,,,,
0,15.05,,,,,,
1,15.1,,,,,,
0,15.1,,,,,,
0,15.85,,,,,,
0,15.65,,,,,,
0,16.1,,,,,,
1,16,,,,,,
1,14.75,,,,,,
2,16.05,,,,,,
0,14.2,,,,,,
0,15.1,,,,,,
1,15.3,,,,,,
0,15.4,,,,,,
2,15.45,,,,,,
0,15.55,,,,,,
1,15.7,,,,,,
