numberDead, evacTime
0,15.35
0,15.75
0,16.3
0,16.2
0,15.55
0,17.7
0,14.3
0,17.35
0,16.05
0,15.85
0,16.5
0,18.7
0,15
0,17.05
0,15.45
0,16.9
0,17.25
0,16.55
0,15.75
0,16.9
0,15
0,15.15
0,15.5
0,17.05
0,15.75
0,14.6
0,14.65
0,14.4
0,14.95
0,15.35
0,15.85
0,15.8
0,15.6
0,15.95
0,15.8
0,17.8
0,16.45
0,17.6
0,17.75
0,16.85
0,15.4
0,18.85
0,16.15
0,14.6
0,14.55
0,17.8
0,13.9
0,17.4
0,16.8
0,15.2
0,17.45
0,15.65
0,18.15
0,15.65
0,18.8
0,16.2
0,16.4
0,17.95
0,14.15
0,16.55
0,16.55
0,15.5
0,16.05
0,14.85
0,15.7
0,18.95
0,17.8
0,15.95
0,14.95
0,16.7
0,17.15
0,16.35
0,15.95
0,16.55
0,16.8
0,16.2
0,14
0,17.55
0,16.3
0,16.25
0,16.2
0,16.8
0,15.9
0,15.15
0,15.65
0,16.05
0,16.9
0,16.05
0,17.95
0,17.25
0,18.7
0,14.7
0,14.5
0,17.45
0,16.7
0,15.45
0,16.55
0,16.2
0,15.85
0,16.55
