numberDead, evacTime,,Avg,Std Dev
2,15.95,evac,15.4685,0.681674076
1,14.65,dead,0.96,1.053325662
4,16.3,,,
2,14.25,,,
1,15.25,,,
1,14.5,,,
1,16,,,
2,16.05,,,
0,16.2,,,
0,14.85,,,
0,16.3,,,
3,15.2,,,
1,16.15,,,
1,15.2,,,
0,14.85,,,
1,14.4,,,
0,16.45,,,
0,14.85,,,
0,16.35,,,
0,14.95,,,
0,14.4,,,
0,15.95,,,
2,16,,,
2,15.1,,,
4,15.25,,,
2,15.45,,,
1,15.1,,,
1,14.75,,,
1,15.9,,,
0,16.3,,,
0,16.6,,,
0,16,,,
2,14.75,,,
1,15.15,,,
1,15.75,,,
2,15.35,,,
0,13.85,,,
0,16.5,,,
1,15.8,,,
0,16.05,,,
2,16.3,,,
0,16.25,,,
1,15.85,,,
2,14.6,,,
0,14.15,,,
1,15.3,,,
2,15.25,,,
1,15.5,,,
0,15.6,,,
3,15.95,,,
2,15.35,,,
2,16.15,,,
1,14.7,,,
1,14.55,,,
2,16.4,,,
0,14.95,,,
0,14.9,,,
1,15.95,,,
0,15.4,,,
2,15.7,,,
1,15.8,,,
0,16.35,,,
1,15.5,,,
1,15.05,,,
1,15.55,,,
0,16.15,,,
1,15.85,,,
0,16.35,,,
1,15.65,,,
0,15.25,,,
0,15.8,,,
0,15.7,,,
0,16.1,,,
1,15.95,,,
0,15.95,,,
1,15.05,,,
0,14.75,,,
1,15.15,,,
6,16.75,,,
0,14.6,,,
1,15.95,,,
1,15.85,,,
1,15.35,,,
1,15.65,,,
1,14.05,,,
1,14.8,,,
1,15,,,
0,15.2,,,
2,15.1,,,
3,15.85,,,
0,14.75,,,
0,15.65,,,
1,15.7,,,
2,14.65,,,
0,15.4,,,
1,15.2,,,
0,16.15,,,
1,13.7,,,
1,15.1,,,
0,16.95,,,
