time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;(-1.99997,-2.9477);(0.131069,-2.24833);(0.717186,3.47754);(1.32386,-3.72342);(0.684597,-3.93841);(-0.330056,1.49418);(1.38467,0.21543);(-0.336003,1.60952);(-0.950188,-3.62028);(0.530554,2.05128);(-1.01184,3.8604);(0.606074,-3.41851);(-0.90916,-0.508709);(-1.0489,-1.80075);(-0.0539305,3.18125);(1.61861,0.0361834);(1.94657,-0.0481865);(1.79106,-3.41001);(-0.891673,3.31054);(1.76392,-3.59933);(1.31127,-2.99708);(1.47299,1.03635);(1.99783,3.10858);(-0.595939,0.10619);(-0.351677,2.73209);(0.149216,-0.256661);(-1.38512,0.573238);(0.137799,-0.0121591);(0.218335,3.1259);(-1.36093,-2.29799)
0.05;(-1.9944,-2.94633);(0.137328,-2.2469);(0.722832,3.47543);(1.32968,-3.72093);(0.69095,-3.93573);(-0.323088,1.49317);(1.39103,0.215271);(-0.329521,1.60852);(-0.944373,-3.61836);(0.535968,2.05011);(-1.00571,3.85825);(0.612626,-3.41613);(-0.903467,-0.508443);(-1.04229,-1.79967);(-0.0468533,3.17901);(1.62486,0.0361564);(1.95336,-0.0481459);(1.79667,-3.40768);(-0.886002,3.30882);(1.76995,-3.59669);(1.31737,-2.99497);(1.47931,1.03558);(2.00376,3.10627);(-0.589107,0.106121);(-0.345716,2.73051);(0.155861,-0.256488);(-1.37783,0.572871);(0.144268,-0.0121511);(0.224847,3.12382);(-1.35409,-2.2966)
0.1;(-1.98379,-2.94372);(0.149266,-2.24418);(0.733603,3.4714);(1.34078,-3.71616);(0.703076,-3.93105);(-0.357416,1.46398);(1.40317,0.214968);(-0.317155,1.60656);(-0.933281,-3.61469);(0.583339,2.07613);(-0.994018,3.85417);(0.625035,-3.41118);(-0.892584,-0.508042);(-1.02968,-1.79761);(-0.0333739,3.1748);(1.63852,-0.0133176);(1.9663,-0.0480688);(1.80741,-3.40323);(-0.875186,3.30551);(1.78146,-3.59167);(1.32902,-2.99092);(1.47858,1.08431);(2.01508,3.10188);(-0.576075,0.105991);(-0.334458,2.72762);(0.168536,-0.256158);(-1.36395,0.572277);(0.156608,-0.0121359);(0.237102,3.12066);(-1.34103,-2.29396)
0.15;(-1.96859,-2.93999);(0.166299,-2.24019);(0.723165,3.51264);(1.35653,-3.7096);(0.720292,-3.92426);(-0.355634,1.46936);(1.42055,0.214533);(-0.299403,1.60354);(-0.917401,-3.60945);(0.596473,2.1386);(-0.977276,3.84861);(0.642437,-3.40436);(-0.876885,-0.508131);(-1.0116,-1.79469);(-0.0160164,3.16902);(1.65753,-0.0565037);(1.98484,-0.0479583);(1.82327,-3.39726);(-0.859703,3.3005);(1.79799,-3.5848);(1.34547,-2.98574);(1.50517,1.09117);(2.04823,3.10555);(-0.557417,0.105801);(-0.318325,2.72367);(0.186682,-0.255685);(-1.38454,0.535455);(0.174274,-0.0121145);(0.252503,3.1168);(-1.32235,-2.2902)
0.2;(-1.94924,-2.93524);(0.187877,-2.23488);(0.710369,3.5707);(1.37652,-3.70135);(0.740873,-3.91725);(-0.347045,1.47326);(1.44269,0.21398);(-0.276766,1.59966);(-0.897182,-3.60278);(0.627671,2.15444);(-0.955985,3.84145);(0.664571,-3.39604);(-0.856987,-0.507509);(-0.988526,-1.7913);(-0.0284736,3.20339);(1.68134,-0.0942146);(2.00845,-0.0478173);(1.84368,-3.38985);(-0.839984,3.29423);(1.81905,-3.57622);(1.3674,-2.97776);(1.53554,1.0965);(2.08354,3.10657);(-0.533657,0.105537);(-0.347556,2.74074);(0.209792,-0.255082);(-1.39588,0.5017);(0.196775,-0.0120905);(0.250773,3.15991);(-1.29861,-2.28548)
0.25;(-1.92611,-2.92955);(0.21369,-2.22836);(0.704385,3.62114);(1.40032,-3.69155);(0.765887,-3.90819);(-0.332282,1.47581);(1.46914,0.213322);(-0.249746,1.59522);(-0.873034,-3.59487);(0.661332,2.16757);(-0.97572,3.86287);(0.690772,-3.38635);(-0.833317,-0.506348);(-0.960837,-1.78708);(0.00128605,3.21096);(1.70941,-0.127073);(2.03666,-0.0476488);(1.86817,-3.38115);(-0.87009,3.28379);(1.8442,-3.56606);(1.39311,-2.96898);(1.56935,1.10028);(2.1206,3.10518);(-0.505272,0.105167);(-0.360682,2.71047);(0.237404,-0.254361);(-1.39888,0.47075);(0.22367,-0.0120719);(0.298929,3.20638);(-1.27044,-2.2801)
0.3;(-1.89956,-2.92303);(0.243483,-2.22067);(0.704574,3.66466);(1.42757,-3.68031);(0.794908,-3.89729);(-0.303545,1.43035);(1.49953,0.212571);(-0.198278,1.54716);(-0.845329,-3.58595);(0.69721,2.17823);(-0.987482,3.88015);(0.720705,-3.37556);(-0.806297,-0.504576);(-0.929203,-1.78235);(0.0353405,3.21556);(1.74126,-0.15569);(2.06905,-0.0474553);(1.89627,-3.37123);(-0.891675,3.2726);(1.87298,-3.55444);(1.42223,-2.95939);(1.60635,1.10288);(2.15904,3.10157);(-0.472693,0.104665);(-0.396171,2.72492);(0.269096,-0.253527);(-1.39431,0.442365);(0.254559,-0.0120631);(0.349008,3.24641);(-1.23815,-2.27388)
0.35;(-1.8699,-2.91575);(0.276702,-2.21243);(0.718209,3.75634);(1.45789,-3.66782);(0.827271,-3.885);(-0.273218,1.43486);(1.53351,0.211742);(-0.136509,1.54803);(-0.81446,-3.57622);(0.736587,2.18547);(-0.992026,3.89366);(0.753685,-3.36392);(-0.77882,-0.506935);(-0.894191,-1.77676);(0.0717707,3.21863);(1.7768,-0.180678);(2.10522,-0.047239);(1.92778,-3.36024);(-0.924807,3.26761);(1.90504,-3.54153);(1.45466,-2.94882);(1.64622,1.10441);(2.19853,3.09597);(-0.450728,0.0553022);(-0.403115,2.72961);(0.312203,-0.271178);(-1.38287,0.416325);(0.307925,-0.0567168);(0.385821,3.23823);(-1.20252,-2.26729)
0.4;(-1.83743,-2.90778);(0.309892,-2.20816);(0.73617,3.83694);(1.49104,-3.65453);(0.862238,-3.87723);(-0.238739,1.43798);(1.5707,0.210838);(-0.111575,1.51509);(-0.780659,-3.56623);(0.823053,2.20952);(-0.990025,3.90376);(0.789492,-3.34758);(-0.793062,-0.536856);(-0.857881,-1.78918);(0.111852,3.21912);(1.81631,-0.202597);(2.14484,-0.0470022);(1.96216,-3.34849);(-0.949106,3.26139);(1.94004,-3.52767);(1.49085,-2.9376);(1.69016,1.10428);(2.23875,3.08866);(-0.389302,0.0366458);(-0.403453,2.73229);(0.357683,-0.284434);(-1.3652,0.392429);(0.36483,-0.0908148);(0.404326,3.27658);(-1.16443,-2.26239)
0.45;(-1.80228,-2.89934);(0.336828,-2.18797);(0.758039,3.90751);(1.52652,-3.64037);(0.900223,-3.86748);(-0.200499,1.43982);(1.61082,0.20987);(-0.0824524,1.4844);(-0.744066,-3.55888);(0.881456,2.2157);(-0.982087,3.91074);(0.837716,-3.34588);(-0.800289,-0.563722);(-0.788251,-1.76432);(0.155229,3.21728);(1.86696,-0.220019);(2.18757,-0.0467472);(1.99851,-3.33611);(-0.96544,3.25404);(1.97734,-3.51294);(1.52951,-2.92636);(1.73633,1.10328);(2.30393,3.09407);(-0.329109,0.0217256);(-0.397797,2.73316);(0.407426,-0.297388);(-1.34204,0.370645);(0.415028,-0.121732);(0.427588,3.30915);(-1.15963,-2.29479)
