time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;(-1.99997,-2.9477);(0.131069,-2.24833);(0.717186,3.47754);(1.32386,-3.72342);(0.684597,-3.93841);(-0.330056,1.49418);(1.38467,0.21543);(-0.336003,1.60952);(-0.950188,-3.62028);(0.530554,2.05128);(-1.01184,3.8604);(0.606074,-3.41851);(-0.90916,-0.508709);(-1.0489,-1.80075);(-0.0539305,3.18125);(1.61861,0.0361834);(1.94657,-0.0481865);(1.79106,-3.41001);(-0.891673,3.31054);(1.76392,-3.59933);(1.31127,-2.99708);(1.47299,1.03635);(1.99783,3.10858);(-0.595939,0.10619);(-0.351677,2.73209);(0.149216,-0.256661);(-1.38512,0.573238);(0.137799,-0.0121591);(0.218335,3.1259);(-1.36093,-2.29799)
0.05;(-1.99444,-2.94639);(0.137343,-2.24716);(0.722847,3.4755);(1.32969,-3.72097);(0.690958,-3.93577);(-0.323205,1.4937);(1.39164,0.215366);(-0.32962,1.60899);(-0.944388,-3.61842);(0.536043,2.0504);(-1.00572,3.8583);(0.612639,-3.41621);(-0.904236,-0.508874);(-1.04245,-1.79994);(-0.0468551,3.17911);(1.62535,0.0361675);(1.95371,-0.0481548);(1.79669,-3.40772);(-0.886023,3.30889);(1.76997,-3.59673);(1.3174,-2.99506);(1.47964,1.03582);(2.0038,3.10633);(-0.59045,0.106361);(-0.345736,2.73067);(0.156795,-0.258094);(-1.37835,0.573085);(0.146437,-0.0123425);(0.224854,3.12393);(-1.35417,-2.29675)
0.1;(-1.98391,-2.9439);(0.14931,-2.24495);(0.733646,3.4716);(1.34082,-3.7163);(0.703117,-3.93137);(-0.357821,1.46529);(1.405,0.215258);(-0.317426,1.60772);(-0.933325,-3.61486);(0.583669,2.07644);(-0.994053,3.85431);(0.625057,-3.41122);(-0.894859,-0.509199);(-1.03013,-1.7984);(-0.0333906,3.17513);(1.63999,-0.0132218);(1.96734,-0.0480941);(1.80748,-3.40337);(-0.875247,3.30573);(1.78151,-3.59179);(1.32914,-2.99117);(1.47943,1.08481);(2.01518,3.10203);(-0.580008,0.106694);(-0.33454,2.72831);(0.171291,-0.260824);(-1.36544,0.572798);(0.162863,-0.0127006);(0.237011,3.1214);(-1.34129,-2.2944)
0.15;(-1.96882,-2.94033);(0.166297,-2.24155);(0.721881,3.51232);(1.35661,-3.70985);(0.720433,-3.92482);(-0.356374,1.4715);(1.42466,0.215237);(-0.299909,1.60554);(-0.917487,-3.60978);(0.596999,2.13885);(-0.977361,3.84897);(0.642613,-3.40459);(-0.881456,-0.509683);(-1.01247,-1.79613);(-0.016216,3.16957);(1.66044,-0.0563657);(1.98686,-0.0480072);(1.82333,-3.39755);(-0.859819,3.30086);(1.79807,-3.58504);(1.34563,-2.98626);(1.50694,1.09219);(2.04772,3.1059);(-0.565105,0.107186);(-0.318494,2.72524);(0.192128,-0.264695);(-1.38692,0.536208);(0.185868,-0.0133293);(0.252254,3.11813);(-1.32289,-2.2911)
0.2;(-1.94961,-2.93578);(0.187725,-2.23694);(0.705822,3.57191);(1.37662,-3.70175);(0.740962,-3.91826);(-0.348226,1.47672);(1.45017,0.215354);(-0.277588,1.60289);(-0.897318,-3.60334);(0.628482,2.15468);(-0.956187,3.84214);(0.664801,-3.39662);(-0.864419,-0.510329);(-0.989872,-1.79309);(-0.0287272,3.20425);(1.68615,-0.0940976);(2.01172,-0.0478957);(1.84389,-3.39031);(-0.840171,3.2948);(1.81921,-3.5766);(1.36773,-2.9784);(1.53846,1.09824);(2.08253,3.10715);(-0.546196,0.107837);(-0.347891,2.74302);(0.218808,-0.269521);(-1.39961,0.502876);(0.214676,-0.0142495);(0.250319,3.16182);(-1.29956,-2.28704)
0.25;(-1.92665,-2.93036);(0.213153,-2.23127);(0.696892,3.6238);(1.40043,-3.69212);(0.765938,-3.90967);(-0.334212,1.48059);(1.4809,0.215598);(-0.250942,1.59999);(-0.873223,-3.59577);(0.662479,2.16807);(-0.97601,3.86392);(0.691217,-3.38747);(-0.84532,-0.509164);(-0.96165,-1.79131);(0.000983877,3.21214);(1.71654,-0.127046);(2.04143,-0.047761);(1.86844,-3.3818);(-0.870345,3.28453);(1.84443,-3.56661);(1.39358,-2.96981);(1.57361,1.10293);(2.11921,3.10601);(-0.523697,0.108653);(-0.360988,2.71353);(0.250925,-0.27507);(-1.4044,0.472511);(0.248798,-0.015424);(0.298267,3.20893);(-1.27176,-2.28222)
0.3;(-1.90031,-2.92414);(0.24359,-2.2248);(0.69442,3.66869);(1.42764,-3.68108);(0.794937,-3.89923);(-0.307096,1.43621);(1.51637,0.215985);(-0.203418,1.55166);(-0.845591,-3.58729);(0.698741,2.17924);(-0.987864,3.88158);(0.721077,-3.37724);(-0.823157,-0.508358);(-0.929626,-1.78774);(0.0349941,3.21714);(1.7511,-0.155832);(2.07554,-0.0476058);(1.89678,-3.3721);(-0.892014,3.27358);(1.87337,-3.5552);(1.42282,-2.96046);(1.61215,1.10659);(2.15738,3.10269);(-0.497995,0.109643);(-0.392625,2.73048);(0.287955,-0.28123);(-1.40204,0.444851);(0.287689,-0.0168481);(0.348167,3.24965);(-1.24112,-2.27732)
0.35;(-1.87088,-2.91719);(0.277051,-2.21719);(0.70687,3.76131);(1.45787,-3.66883);(0.827469,-3.88727);(-0.273884,1.44146);(1.55608,0.216521);(-0.142984,1.55163);(-0.814699,-3.57822);(0.738464,2.18749);(-0.992504,3.89549);(0.754769,-3.36696);(-0.800967,-0.511134);(-0.894592,-1.78406);(0.0714703,3.22038);(1.78975,-0.180864);(2.11365,-0.0474379);(1.92817,-3.36134);(-0.906004,3.26202);(1.90547,-3.5425);(1.45524,-2.9504);(1.65374,1.10928);(2.19667,3.09741);(-0.48657,0.0627151);(-0.415359,2.74446);(0.331465,-0.293872);(-1.3932,0.419659);(0.355752,-0.049569);(0.383281,3.2426);(-1.20675,-2.27138)
0.4;(-1.83902,-2.91004);(0.313308,-2.2096);(0.723767,3.84281);(1.49108,-3.65532);(0.86601,-3.92495);(-0.237069,1.44578);(1.59904,0.216961);(-0.118029,1.51637);(-0.780539,-3.5688);(0.827339,2.20492);(-0.990602,3.90599);(0.785287,-3.30679);(-0.762958,-0.561342);(-0.856949,-1.79081);(0.111596,3.22115);(1.85955,-0.203003);(2.15537,-0.0472896);(1.96309,-3.34986);(-0.913041,3.24993);(1.94074,-3.52895);(1.4914,-2.93835);(1.69916,1.11069);(2.23677,3.09047);(-0.442742,0.0538661);(-0.43004,2.75575);(0.379511,-0.305194);(-1.42169,0.427731);(0.398511,-0.0780141);(0.398944,3.28161);(-1.16921,-2.26704)
0.45;(-1.80472,-2.90225);(0.327142,-2.15731);(0.74468,3.91425);(1.52691,-3.64084);(0.907209,-3.95646);(-0.196871,1.44942);(1.64495,0.217271);(-0.0889535,1.50242);(-0.743781,-3.5616);(0.89064,2.20385);(-0.982768,3.91339);(0.838316,-3.29126);(-0.719428,-0.561856);(-0.81661,-1.84748);(0.155021,3.21968);(1.92957,-0.222984);(2.20034,-0.0471215);(1.99995,-3.33725);(-0.965143,3.22876);(1.97836,-3.51414);(1.53039,-2.9258);(1.74701,1.11127);(2.29919,3.09777);(-0.398359,0.0284654);(-0.394994,2.77225);(0.431171,-0.314532);(-1.44073,0.434966);(0.445312,-0.100147);(0.419639,3.31489);(-1.16526,-2.29972)
