time;0;1;2;3;4;5;6;7;8;9
0;(10,0);(8.09017,5.87785);(3.09017,9.51057);(-3.09017,9.51056);(-8.09017,5.87785);(-10,-8.74228e-07);(-8.09017,-5.87785);(-3.09017,-9.51057);(3.09017,-9.51056);(8.09017,-5.87785)
0.05;(9.99352,0);(8.08553,5.87448);(3.08813,9.5043);(-3.08819,9.50446);(-8.08441,5.87367);(-9.99397,-8.73701e-07);(-8.08424,-5.87354);(-3.08821,-9.50455);(3.08796,-9.50375);(8.08459,-5.8738)
0.1;(9.98115,1.6217e-15);(8.07669,5.86806);(3.08425,9.49234);(-3.0844,9.49281);(-8.07342,5.86568);(-9.98247,-8.72695e-07);(-8.07292,-5.86532);(-3.08448,-9.49306);(3.08373,-9.49074);(8.07395,-5.86607)
0.15;(9.96345,9.06499e-11);(8.06403,5.85886);(3.07868,9.47522);(-3.07899,9.47614);(-8.05769,5.85425);(-9.96601,-8.71256e-07);(-8.05672,-5.85355);(-3.07914,-9.47662);(3.07768,-9.47211);(8.05871,-5.855)
0.2;(9.9409,4.32667e-09);(8.04791,5.84715);(3.0716,9.45341);(-3.07209,9.45491);(-8.03765,5.83969);(-9.94503,-8.69423e-07);(-8.03608,-5.83856);(-3.07233,-9.45568);(3.06997,-9.44839);(8.0393,-5.8409)
0.25;(9.91396,3.88002e-08);(8.02864,5.83315);(3.06313,9.42736);(-3.06384,9.42954);(-8.0137,5.82229);(-9.91998,-8.67232e-07);(-8.01142,-5.82064);(-3.0642,-9.43066);(3.06076,-9.42005);(8.01611,-5.82405)
0.3;(9.88303,1.76719e-07);(8.00652,5.81708);(3.05341,9.39744);(-3.05438,9.40041);(-7.98621,5.80232);(-9.89121,-8.64717e-07);(-7.98311,-5.80007);(-3.05487,-9.40193);(3.05019,-9.38751);(7.98949,-5.8047)
0.35;(9.84848,5.5446e-07);(7.98182,5.79913);(3.04256,9.36403);(-3.04381,9.36787);(-7.95551,5.78001);(-9.85908,-8.61908e-07);(-7.95149,-5.7771);(-3.04444,-9.36984);(3.03838,-9.35116);(7.95975,-5.7831)
0.4;(9.81065,1.3747e-06);(7.95476,5.77947);(3.03067,9.32744);(-3.03223,9.33225);(-7.92188,5.75558);(-9.82389,-8.58832e-07);(-7.91687,-5.75194);(-3.03303,-9.33471);(3.02544,-9.31136);(7.92719,-5.75944)
0.45;(9.76984,2.9002e-06);(7.92557,5.75827);(3.01785,9.28797);(-3.01975,9.29382);(-7.88561,5.72922);(-9.78593,-8.55513e-07);(-7.87952,-5.7248);(-3.02071,-9.2968);(3.01149,-9.26842);(7.89206,-5.73392)
0.5;(9.72633,5.44276e-06);(7.89445,5.73566);(3.00418,9.24589);(-3.00644,9.25284);(-7.84693,5.70111);(-9.74546,-8.51975e-07);(-7.83969,-5.69587);(-3.00758,-9.25639);(2.99661,-9.22265);(7.85461,-5.70671)
