time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;(-1.13326,2.64525);(-1.84137,0.103748);(1.74011,-3.96667);(1.19926,0.00283146);(-0.874354,1.46556);(1.7708,3.77275);(-0.740895,-0.438979);(1.16364,2.50078);(0.499533,-0.705293);(0.950259,-2.00682);(0.994845,0.712962);(-1.81254,1.37548);(0.838266,1.46373);(1.33967,-0.367234);(-1.93526,-3.79169);(-1.49521,3.85062);(1.8804,-0.359181);(0.227456,-2.30376);(1.20469,-1.63732);(0.7728,0.903264);(-0.0327595,2.81904);(0.750594,-1.52268);(0.751659,2.26975);(-0.172277,1.06981);(1.90574,3.47418);(0.469425,3.26314);(-1.40528,2.79514);(-0.201808,0.411954);(-0.00852013,1.60632);(-0.289866,0.456999);(0.430769,-0.117641);(-0.806645,-2.56346);(-0.943198,-0.663475);(0.697003,-2.94733);(1.5608,0.816191);(1.76764,1.48703);(-1.54349,-2.72703);(0.239487,2.11598);(-1.17141,0.326581);(1.74707,-2.05591);(-1.30531,3.46633);(-1.47301,-1.61907);(-0.624943,1.17399);(-0.179741,-1.79938);(-0.481022,-1.0879);(0.171987,-2.84188);(0.982302,3.09105);(1.57237,-2.18984);(-0.313464,-0.774014);(-1.74769,-2.90211)
0.05;(-1.14061,2.64436);(-1.84784,0.103736);(1.74652,-3.96532);(1.20635,0.00283228);(-0.881457,1.46543);(1.77671,3.77157);(-0.748635,-0.439362);(1.16983,2.50011);(0.507358,-0.705891);(0.956522,-2.00642);(1.00155,0.713161);(-1.81894,1.37516);(0.844927,1.46364);(1.34561,-0.367294);(-1.94099,-3.79052);(-1.50146,3.84936);(1.88815,-0.359103);(0.233644,-2.30329);(1.21201,-1.63696);(0.779608,0.903546);(-0.038079,2.81844);(0.757071,-1.52259);(0.75925,2.26908);(-0.178902,1.0703);(1.91245,3.47294);(0.476212,3.2621);(-1.41228,2.79419);(-0.209767,0.413222);(-0.0151947,1.60629);(-0.29651,0.458092);(0.439209,-0.118021);(-0.811728,-2.56295);(-0.949868,-0.663719);(0.7036,-2.94645);(1.56751,0.81611);(1.77371,1.48671);(-1.55033,-2.72613);(0.245126,2.11568);(-1.17891,0.326662);(1.75398,-2.05527);(-1.31092,3.46535);(-1.47973,-1.6187);(-0.632321,1.17415);(-0.186501,-1.79918);(-0.489008,-1.08816);(0.178294,-2.84112);(0.988429,3.09015);(1.57839,-2.18928);(-0.320496,-0.774758);(-1.75445,-2.90111)
0.1;(-1.15463,2.64266);(-1.86019,0.103718);(1.75874,-3.96272);(1.21988,0.00283386);(-0.89508,1.46527);(1.78905,3.77023);(-0.763401,-0.440098);(1.20263,2.4761);(0.52222,-0.70694);(0.96885,-2.00664);(1.03574,0.755122);(-1.83121,1.37458);(0.857486,1.46293);(1.35694,-0.367408);(-1.95193,-3.78831);(-1.51337,3.84719);(1.90294,-0.358956);(0.24545,-2.30237);(1.22605,-1.63638);(0.792498,0.904027);(-0.0482256,2.8173);(0.766913,-1.51975);(0.773714,2.26782);(-0.191554,1.07121);(1.92524,3.47057);(0.467675,3.28363);(-1.42564,2.79215);(-0.224929,0.415553);(-0.027887,1.60635);(-0.30921,0.460076);(0.420187,-0.160184);(-0.821426,-2.56198);(-0.96254,-0.664096);(0.71617,-2.94477);(1.58031,0.815956);(1.78591,1.48665);(-1.56339,-2.72443);(0.255883,2.1151);(-1.19323,0.326811);(1.76717,-2.05405);(-1.32162,3.46349);(-1.49372,-1.61864);(-0.646365,1.17445);(-0.192562,-1.84577);(-0.503147,-1.08809);(0.190324,-2.83969);(0.999689,3.08729);(1.59201,-2.18989);(-0.340757,-0.729216);(-1.76735,-2.89921)
0.15;(-1.17488,2.64059);(-1.87802,0.103802);(1.77621,-3.95902);(1.23925,0.0028361);(-0.915978,1.46791);(1.80599,3.76831);(-0.821018,-0.415071);(1.24386,2.50137);(0.565448,-0.749163);(0.986424,-2.00635);(1.03363,0.762708);(-1.84921,1.3739);(0.847703,1.41749);(1.37317,-0.367573);(-1.96761,-3.78552);(-1.53045,3.84401);(1.92412,-0.358744);(0.262366,-2.30078);(1.24661,-1.6361);(0.810886,0.90394);(-0.0627529,2.81566);(0.78233,-1.5171);(0.779157,2.28731);(-0.207044,1.08118);(1.94357,3.46797);(0.466714,3.30212);(-1.4449,2.78952);(-0.233594,0.467459);(-0.0448026,1.6087);(-0.319019,0.511976);(0.374866,-0.159821);(-0.835978,-2.56102);(-0.980738,-0.66465);(0.734173,-2.94237);(1.59766,0.810707);(1.83496,1.52039);(-1.58207,-2.72508);(0.271233,2.11425);(-1.24844,0.355739);(1.78604,-2.05231);(-1.33697,3.46091);(-1.5131,-1.61466);(-0.667252,1.18125);(-0.219359,-1.84686);(-0.561599,-1.11117);(0.223092,-2.88376);(1.01609,3.08383);(1.61036,-2.18988);(-0.318454,-0.70991);(-1.78579,-2.89657)
0.2;(-1.20218,2.64386);(-1.94117,0.124999);(1.79841,-3.95468);(1.26388,0.00280428);(-0.970062,1.50795);(1.84092,3.81305);(-0.833498,-0.411552);(1.25781,2.48474);(0.578232,-0.751723);(1.0175,-2.05421);(1.07149,0.740266);(-1.8896,1.41794);(0.839849,1.42201);(1.39235,-0.373201);(-1.99313,-3.80014);(-1.55217,3.83988);(1.95261,-0.360657);(0.283908,-2.29888);(1.29845,-1.67484);(0.827323,0.853892);(-0.0803141,2.823);(0.802752,-1.51467);(0.791689,2.30431);(-0.215724,1.14069);(1.9911,3.50595);(0.472626,3.31785);(-1.46969,2.78686);(-0.243545,0.469381);(-0.0505467,1.65979);(-0.32889,0.513877);(0.357971,-0.151087);(-0.854265,-2.55965);(-0.998527,-0.644708);(0.802118,-2.93755);(1.62018,0.81356);(1.8844,1.55066);(-1.59988,-2.71237);(0.290697,2.11633);(-1.28149,0.339841);(1.82038,-2.05738);(-1.35649,3.45762);(-1.57686,-1.63371);(-0.69313,1.18675);(-0.248488,-1.84848);(-0.575661,-1.11125);(0.205919,-2.93024);(1.0371,3.07981);(1.6416,-2.19921);(-0.308674,-0.698689);(-1.80932,-2.89633)
0.25;(-1.23602,2.6967);(-2.00493,0.144216);(1.82666,-3.95705);(1.28586,-0.00961574);(-1.01729,1.49846);(1.878,3.85244);(-0.852593,-0.408676);(1.31927,2.48368);(0.590695,-0.776819);(1.04851,-2.09264);(1.10097,0.767115);(-1.95977,1.42182);(0.839412,1.42607);(1.4265,-0.426539);(-2.0217,-3.81222);(-1.57796,3.88032);(1.99848,-0.374722);(0.309466,-2.29718);(1.32544,-1.6702);(0.871272,0.845594);(-0.10167,2.8802);(0.825061,-1.51946);(0.810651,2.31906);(-0.253421,1.15947);(2.03946,3.53916);(0.484774,3.33106);(-1.49889,2.834);(-0.260761,0.472619);(-0.0486347,1.66147);(-0.344596,0.516757);(0.312427,-0.183332);(-0.875938,-2.55791);(-1.00155,-0.672536);(0.83484,-2.96822);(1.64732,0.816063);(1.93403,1.57778);(-1.61288,-2.74943);(0.260221,2.12086);(-1.32932,0.371712);(1.90385,-2.05317);(-1.37645,3.46012);(-1.64551,-1.60299);(-0.724026,1.19239);(-0.278982,-1.84874);(-0.596447,-1.11155);(0.196639,-2.97161);(1.0639,3.07624);(1.71195,-2.17738);(-0.306926,-0.689404);(-1.83728,-2.89514)
0.3;(-1.26827,2.69956);(-2.0672,0.134014);(1.87831,-3.96856);(1.31259,-0.0185234);(-1.04894,1.53648);(1.91692,3.88697);(-0.921686,-0.40617);(1.35187,2.52344);(0.610171,-0.787463);(1.08062,-2.12591);(1.13444,0.790826);(-2.03044,1.44875);(0.845711,1.42972);(1.47559,-0.432162);(-2.07833,-3.8657);(-1.60694,3.97065);(2.04587,-0.380888);(0.338467,-2.30789);(1.34625,-1.71517);(0.918039,0.838343);(-0.126369,2.93143);(0.813237,-1.56079);(0.835439,2.33176);(-0.32098,1.13816);(2.08835,3.56801);(0.50258,3.34198);(-1.53052,2.8312);(-0.284405,0.476759);(-0.0535827,1.66296);(-0.365516,0.520421);(0.315079,-0.202263);(-0.902571,-2.55937);(-1.04409,-0.669738);(0.852767,-2.98678);(1.67867,0.818241);(2.0125,1.56405);(-1.59932,-2.74412);(0.260361,2.16493);(-1.40875,0.364837);(1.98217,-2.04845);(-1.37433,3.50748);(-1.71446,-1.57533);(-0.723026,1.23654);(-0.292153,-1.8959);(-0.597446,-1.15777);(0.194521,-3.00831);(1.09417,3.07291);(1.78378,-2.16351);(-0.348185,-0.70562);(-1.86927,-2.89312)
0.35;(-1.31205,2.75108);(-2.14785,0.137087);(1.93018,-3.97763);(1.34392,-0.0266103);(-1.0683,1.52603);(1.95734,3.91707);(-0.96717,-0.401464);(1.41899,2.52703);(0.635669,-0.797627);(1.11591,-2.15563);(1.17147,0.811838);(-2.09702,1.47281);(0.858123,1.43301);(1.5248,-0.437321);(-2.13277,-3.91302);(-1.63947,4.05093);(2.09784,-0.386373);(0.320226,-2.33498);(1.41326,-1.741);(0.967372,0.832018);(-0.125445,2.95985);(0.811714,-1.59877);(0.865494,2.34258);(-0.386984,1.12467);(2.13745,3.5929);(0.54011,3.39885);(-1.58845,2.87093);(-0.313927,0.481688);(-0.0647595,1.66427);(-0.391195,0.524776);(0.326044,-0.220357);(-0.91934,-2.57707);(-1.08905,-0.670107);(0.859904,-3.02718);(1.71382,0.82012);(2.08975,1.55122);(-1.63304,-2.75505);(0.242889,2.16219);(-1.48817,0.361959);(2.05573,-2.04314);(-1.40668,3.56682);(-1.79342,-1.57095);(-0.729515,1.2767);(-0.272222,-1.93037);(-0.57044,-1.16257);(0.198944,-3.04084);(1.09005,3.10587);(1.85247,-2.14942);(-0.392922,-0.720403);(-1.90472,-2.89036)
0.4;(-1.35878,2.79687);(-2.22743,0.139849);(1.98208,-3.98449);(1.3794,-0.0339537);(-1.11869,1.55479);(1.99899,3.94314);(-1.0161,-0.402723);(1.48496,2.52959);(0.666621,-0.807333);(1.15404,-2.18211);(1.21156,0.831021);(-2.15989,1.49411);(0.876085,1.43595);(1.57533,-0.442034);(-2.18513,-3.95474);(-1.67522,4.12212);(2.15137,-0.389177);(0.309874,-2.35908);(1.48026,-1.764);(1.01904,0.826509);(-0.132323,2.98386);(0.857683,-1.62112);(0.9003,2.35169);(-0.453713,1.11817);(2.18648,3.61419);(0.580872,3.4493);(-1.64694,2.90599);(-0.32683,0.457591);(-0.088702,1.64563);(-0.389047,0.48759);(0.371985,-0.206642);(-0.93964,-2.59263);(-1.13654,-0.670632);(0.872978,-3.06289);(1.75242,0.821721);(2.1659,1.53921);(-1.67019,-2.76405);(0.267069,2.18712);(-1.5676,0.359397);(2.12485,-2.0371);(-1.44145,3.61956);(-1.87181,-1.56662);(-0.779602,1.29238);(-0.299992,-1.97983);(-0.581495,-1.19825);(0.20921,-3.06988);(1.09484,3.136);(1.91959,-2.13702);(-0.440569,-0.73453);(-1.94312,-2.88693)
0.45;(-1.4081,2.83745);(-2.30602,0.142326);(2.03381,-3.98933);(1.4644,-0.0343778);(-1.17116,1.58066);(2.04157,3.96554);(-1.06821,-0.404069);(1.54983,2.53121);(0.702516,-0.816579);(1.19472,-2.20564);(1.25496,0.84801);(-2.2194,1.51263);(0.899078,1.43859);(1.62705,-0.446331);(-2.23548,-3.99136);(-1.7135,4.1851);(2.20623,-0.38998);(0.307854,-2.38089);(1.54712,-1.78441);(1.10212,0.84663);(-0.143881,3.00499);(0.905682,-1.64126);(0.938777,2.35973);(-0.52107,1.11267);(2.23517,3.63218);(0.624538,3.4939);(-1.70581,2.9368);(-0.346735,0.436863);(-0.11713,1.62871);(-0.393904,0.454883);(0.368411,-0.199869);(-0.968138,-2.61209);(-1.1863,-0.671278);(0.891434,-3.09435);(1.79487,0.823303);(2.24104,1.52791);(-1.71032,-2.77129);(0.29464,2.20943);(-1.64701,0.357103);(2.18988,-2.03016);(-1.47837,3.66631);(-1.94968,-1.56233);(-0.832218,1.30668);(-0.331941,-2.0244);(-0.595698,-1.22454);(0.224822,-3.09539);(1.10531,3.16241);(1.98513,-2.12589);(-0.490875,-0.747974);(-1.98402,-2.8829)
