time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
0;(-0.822708,1.48412);(-1.63739,0.704775);(0.221493,-2.73845);(1.9042,-0.354477);(-1.66679,-3.60638);(-0.385731,2.05521);(-0.838679,0.62881);(0.018117,0.986352);(-1.36568,-1.92148);(0.0486324,2.72934);(-0.502175,-0.0963244);(-1.55549,1.72715);(1.96975,3.07288);(0.229197,0.239613);(-0.925501,2.21121);(-0.860511,2.78754);(-0.160599,1.63054);(-0.487106,2.42285);(-0.189477,-1.08512);(-1.14263,-0.431789);(-0.242285,-0.184748);(0.796782,-0.957036);(-0.759702,-0.639376);(0.112765,-1.52918);(1.27071,1.75853);(0.691176,1.18551);(-1.79659,1.32092);(-1.23211,-0.205798);(1.87858,2.53284);(-0.714571,-3.58278);(-1.07267,-0.802234);(1.64457,0.719432);(1.00646,-0.725855);(1.99217,-3.31181);(-0.715028,-2.96467);(1.27729,-1.26851);(0.00276661,-3.00223);(0.615298,2.63062);(-0.269023,-2.94208);(1.68553,1.44102);(1.05566,-2.90578);(0.454191,3.18981);(-0.349509,3.6165);(1.2699,-1.7223);(0.835164,1.19157);(1.29005,3.69955);(-1.70223,-2.79719);(-1.44405,3.64674);(-0.689924,0.905272);(0.51274,3.24112);(0.894901,1.18573);(-0.555098,-3.07194);(-0.396344,-2.70689);(-1.74432,-1.56814);(-0.414537,1.74174);(-1.37576,3.21895);(-0.024323,-1.59165);(-1.63448,2.73274);(-0.439514,2.18206);(0.958315,-3.19341);(0.702898,3.20576);(-1.81654,2.96616);(-1.82935,-3.92593);(-1.39857,-3.62862);(-1.39022,-2.87315);(0.370225,-3.24118);(-1.20475,-0.405866);(-1.29182,0.750669);(-1.53646,1.34406);(-1.20847,2.38556);(0.422704,0.787446);(-0.87867,0.371752);(-1.64227,-3.18729);(-1.81941,2.28076);(-1.82923,0.176527);(-0.868197,0.432959);(-0.378847,1.43405);(-0.753986,-0.502198);(0.978323,-2.63712);(1.5239,0.218704);(-1.57469,-3.5106);(1.72019,-1.40757);(-1.56868,-1.55252);(-1.31388,3.38682);(-1.29938,2.64392);(-1.28191,-2.10665);(0.83151,-1.62225);(0.805557,-2.0133);(-0.173676,2.06195);(0.671749,-3.82565);(0.959939,3.37172);(1.88978,3.07431);(-0.990827,-1.6642);(1.25535,-2.77145);(-1.11861,-0.968806);(1.31292,-3.35867);(-0.617883,-1.52723);(-0.780554,2.47013);(1.83056,-3.47562);(0.411142,-3.86617)
0.05;(-0.816391,1.48362);(-1.63107,0.704535);(0.227333,-2.73698);(1.91064,-0.354277);(-1.66016,-3.60437);(-0.379567,2.05428);(-0.832415,0.628932);(0.0240685,0.986698);(-1.35898,-1.92052);(0.0543593,2.72793);(-0.496997,-0.0965459);(-1.54918,1.72636);(1.97563,3.0707);(0.236372,0.240764);(-0.919297,2.21015);(-0.853715,2.78592);(-0.154087,1.62997);(-0.481244,2.42169);(-0.183146,-1.08525);(-1.13645,-0.431783);(-0.236835,-0.185741);(0.803895,-0.956897);(-0.753896,-0.639585);(0.120015,-1.5286);(1.27769,1.75739);(0.697982,1.18523);(-1.78975,1.32029);(-1.22611,-0.205793);(1.8854,2.53082);(-0.708792,-3.58091);(-1.06662,-0.80215);(1.65076,0.719099);(1.01368,-0.725743);(1.99746,-3.30967);(-0.708764,-2.96304);(1.28419,-1.26784);(0.00916583,-3.00043);(0.621469,2.62906);(-0.262567,-2.94035);(1.69116,1.44026);(1.06217,-2.90378);(0.460089,3.18794);(-0.343766,3.61455);(1.27669,-1.72123);(0.841475,1.19127);(1.29537,3.69735);(-1.69521,-2.79558);(-1.43863,3.64505);(-0.684012,0.905367);(0.51927,3.23899);(0.90184,1.18532);(-0.548478,-3.07012);(-0.390118,-2.70543);(-1.73796,-1.56743);(-0.407766,1.741);(-1.36975,3.21731);(-0.0178601,-1.59113);(-1.62757,2.7312);(-0.433149,2.18099);(0.964419,-3.19135);(0.708786,3.20382);(-1.81018,2.96462);(-1.82306,-3.92387);(-1.39217,-3.62662);(-1.3842,-2.87171);(0.376193,-3.23928);(-1.1996,-0.405879);(-1.28549,0.750498);(-1.53049,1.34355);(-1.20234,2.3844);(0.43045,0.787751);(-0.872768,0.371895);(-1.63589,-3.18559);(-1.8132,2.27965);(-1.82333,0.176471);(-0.862722,0.43313);(-0.372914,1.43376);(-0.748612,-0.502468);(0.984894,-2.63536);(1.5303,0.218629);(-1.56875,-3.50884);(1.72651,-1.4067);(-1.56235,-1.55184);(-1.30707,3.38484);(-1.29319,2.64258);(-1.27507,-2.10553);(0.837814,-1.62153);(0.811905,-2.0122);(-0.16774,2.06105);(0.677572,-3.82331);(0.965868,3.36959);(1.89556,3.07218);(-0.984317,-1.6635);(1.26151,-2.76962);(-1.11234,-0.968594);(1.3186,-3.35655);(-0.612111,-1.52682);(-0.77525,2.46908);(1.83686,-3.473);(0.417157,-3.8638)
0.1;(-0.803931,1.48612);(-1.62196,0.667934);(0.240194,-2.73237);(1.92325,-0.352642);(-1.64752,-3.60053);(-0.367991,2.05301);(-0.820448,0.629155);(0.0361544,0.984211);(-1.34623,-1.91882);(0.0661033,2.7274);(-0.484606,-0.0930393);(-1.54139,1.6756);(1.98686,3.06653);(0.233734,0.211063);(-0.907483,2.20812);(-0.85948,2.80225);(-0.141724,1.62846);(-0.451303,2.40013);(-0.171473,-1.08454);(-1.12466,-0.431771);(-0.18949,-0.159443);(0.767853,-0.931504);(-0.739473,-0.623344);(0.133848,-1.5275);(1.25224,1.78794);(0.655252,1.17816);(-1.77687,1.31917);(-1.21467,-0.205787);(1.89864,2.52757);(-0.657005,-3.59861);(-1.03163,-0.7613);(1.66468,0.720678);(1.01158,-0.676505);(2.04889,-3.32683);(-0.653206,-2.96979);(1.29729,-1.26669);(0.0189997,-2.99403);(0.633243,2.6261);(-0.252378,-2.93788);(1.74656,1.44426);(1.02325,-2.8809);(0.471341,3.18439);(-0.3328,3.61086);(1.3006,-1.76714);(0.85491,1.19278);(1.30552,3.69314);(-1.73749,-2.7856);(-1.43527,3.67738);(-0.672639,0.905473);(0.531726,3.23492);(0.915391,1.18492);(-0.535849,-3.06664);(-0.37691,-2.7036);(-1.76395,-1.60485);(-0.39546,1.73782);(-1.32104,3.24169);(-0.0051273,-1.59099);(-1.62421,2.77952);(-0.42102,2.17897);(0.956772,-3.18536);(0.720018,3.20014);(-1.8453,2.93516);(-1.81107,-3.91997);(-1.36029,-3.66765);(-1.37271,-2.86893);(0.387918,-3.23655);(-1.1898,-0.405876);(-1.26586,0.702131);(-1.51936,1.34245);(-1.19118,2.33348);(0.444714,0.787869);(-0.86151,0.372065);(-1.67378,-3.16066);(-1.81282,2.26741);(-1.81209,0.176364);(-0.847465,0.425844);(-0.361589,1.4332);(-0.741205,-0.485018);(1.00101,-2.68267);(1.54192,0.215168);(-1.55742,-3.50549);(1.77826,-1.42672);(-1.55031,-1.55059);(-1.30529,3.4326);(-1.2755,2.60484);(-1.29238,-2.06064);(0.838202,-1.57116);(0.823677,-2.01926);(-0.156933,2.06201);(0.691064,-3.82185);(0.977179,3.36553);(1.90659,3.06814);(-0.974556,-1.67779);(1.27296,-2.77362);(-1.10314,-0.972227);(1.33627,-3.35407);(-0.598214,-1.54388);(-0.742747,2.4483);(1.84887,-3.468);(0.423673,-3.86223)
0.15;(-0.773469,1.44198);(-1.6161,0.581438);(0.226447,-2.75404);(1.94122,-0.351018);(-1.62996,-3.59581);(-0.314602,2.02433);(-0.798417,0.678354);(0.0302313,1.02837);(-1.33026,-1.91808);(0.0379447,2.75176);(-0.452059,-0.13529);(-1.52971,1.67468);(2.00194,3.0633);(0.263198,0.219695);(-0.85737,2.17394);(-0.858315,2.81551);(-0.0999153,1.58654);(-0.470247,2.36807);(-0.208431,-1.07221);(-1.1048,-0.481101);(-0.180901,-0.164735);(0.768668,-0.872324);(-0.680088,-0.628975);(0.154941,-1.50322);(1.25618,1.77804);(0.660703,1.15772);(-1.79286,1.27722);(-1.25182,-0.193981);(1.91855,2.52017);(-0.655215,-3.6159);(-1.00175,-0.770186);(1.6872,0.722504);(0.983317,-0.669871);(2.09884,-3.34024);(-0.646098,-2.96418);(1.31605,-1.26521);(-0.0208237,-2.99348);(0.615819,2.66372);(-0.291622,-2.94292);(1.80167,1.44597);(1.03399,-2.85219);(0.480154,3.20711);(-0.274721,3.62392);(1.326,-1.76307);(0.885516,1.21141);(1.32016,3.6873);(-1.78104,-2.8256);(-1.42681,3.705);(-0.668567,0.955044);(0.544363,3.25471);(0.946882,1.20271);(-0.552948,-3.08841);(-0.37766,-2.74979);(-1.78782,-1.59231);(-0.423594,1.76405);(-1.31945,3.24931);(-0.0290503,-1.62486);(-1.61427,2.82178);(-0.417567,2.17442);(0.944225,-3.22914);(0.732869,3.23552);(-1.87028,2.90695);(-1.79421,-3.91507);(-1.32505,-3.70286);(-1.37866,-2.90887);(0.448925,-3.24228);(-1.22506,-0.384217);(-1.28813,0.681037);(-1.52464,1.29412);(-1.16364,2.32981);(0.484318,0.83109);(-0.856327,0.421866);(-1.70443,-3.1852);(-1.80663,2.25617);(-1.82062,0.130332);(-0.790298,0.391292);(-0.399059,1.44356);(-0.723303,-0.516454);(1.02203,-2.68023);(1.58076,0.253655);(-1.54187,-3.50164);(1.83037,-1.44399);(-1.55896,-1.50382);(-1.29687,3.47389);(-1.29912,2.59527);(-1.31018,-2.06574);(0.886352,-1.53558);(0.847937,-1.97791);(-0.160763,2.11078);(0.693569,-3.86918);(1.01012,3.38338);(1.92245,3.06237);(-0.980048,-1.64447);(1.28292,-2.82759);(-1.08104,-0.927553);(1.3046,-3.34352);(-0.596095,-1.51233);(-0.739633,2.46797);(1.90642,-3.48365);(0.478573,-3.87328)
0.2;(-0.738551,1.44763);(-1.62907,0.541262);(0.16687,-2.75572);(1.98745,-0.327215);(-1.65664,-3.61438);(-0.275606,2.04353);(-0.803561,0.685583);(0.0396428,1.02494);(-1.36046,-1.93651);(0.0415712,2.81472);(-0.38798,-0.138738);(-1.56741,1.68161);(2.06243,3.03915);(0.27411,0.181897);(-0.850142,2.11405);(-0.869123,2.87732);(-0.0954608,1.57785);(-0.483631,2.3857);(-0.203441,-1.08708);(-1.11831,-0.493207);(-0.133022,-0.139103);(0.807396,-0.845741);(-0.616719,-0.684446);(0.174257,-1.52891);(1.29075,1.80765);(0.685418,1.18342);(-1.82083,1.28383);(-1.25777,-0.221247);(1.95551,2.52431);(-0.61679,-3.66721);(-1.01145,-0.809635);(1.71633,0.724936);(1.00491,-0.666971);(2.1474,-3.35023);(-0.604324,-2.92255);(1.37739,-1.2375);(-0.0140359,-2.97484);(0.6066,2.65202);(-0.281001,-2.94429);(1.87352,1.49479);(1.02579,-2.86976);(0.495289,3.27943);(-0.263122,3.65541);(1.37154,-1.71324);(0.964962,1.21934);(1.36156,3.67628);(-1.83032,-2.81593);(-1.41508,3.72962);(-0.674139,0.955554);(0.562651,3.27075);(1.02823,1.21678);(-0.523243,-3.09258);(-0.334008,-2.77299);(-1.81788,-1.61988);(-0.40613,1.76977);(-1.28827,3.29725);(-0.0166649,-1.62435);(-1.63398,2.82378);(-0.415973,2.21984);(0.945577,-3.26801);(0.792499,3.25324);(-1.88953,2.88066);(-1.78651,-3.95932);(-1.32017,-3.7778);(-1.42008,-2.91359);(0.460481,-3.25539);(-1.24199,-0.409078);(-1.35641,0.679519);(-1.56374,1.28261);(-1.18521,2.3356);(0.488028,0.839504);(-0.826489,0.428167);(-1.72559,-3.20579);(-1.8425,2.21791);(-1.84388,0.13208);(-0.742501,0.405854);(-0.403499,1.49145);(-0.71171,-0.498289);(1.04821,-2.6769);(1.62073,0.242155);(-1.57183,-3.5185);(1.88273,-1.45863);(-1.59143,-1.501);(-1.28271,3.5099);(-1.3442,2.63086);(-1.3301,-2.05881);(0.891928,-1.52622);(0.882108,-1.94872);(-0.11546,2.15027);(0.703341,-3.91104);(0.997728,3.42234);(1.94286,3.05957);(-0.988881,-1.66103);(1.29282,-2.83157);(-1.0905,-0.921659);(1.27306,-3.38297);(-0.587664,-1.53039);(-0.738923,2.51234);(1.96302,-3.49519);(0.504807,-3.92529)
0.25;(-0.708753,1.50302);(-1.66113,0.547296);(0.157262,-2.75562);(2.06767,-0.340086);(-1.67402,-3.62926);(-0.27772,2.03427);(-0.808325,0.642812);(0.0888566,1.05176);(-1.3874,-1.94901);(0.00288378,2.85104);(-0.373644,-0.137121);(-1.57825,1.64636);(2.14028,3.06189);(0.326922,0.171382);(-0.850944,2.10352);(-0.852949,2.89704);(-0.0546591,1.6035);(-0.489914,2.40058);(-0.164877,-1.13901);(-1.10561,-0.547888);(-0.12523,-0.143355);(0.817443,-0.778203);(-0.582148,-0.699043);(0.228688,-1.5902);(1.3064,1.79099);(0.729404,1.18956);(-1.84029,1.27619);(-1.27023,-0.208407);(1.99451,2.5784);(-0.627784,-3.71091);(-1.00136,-0.803167);(1.72729,0.773947);(1.01383,-0.615704);(2.19451,-3.3571);(-0.612543,-2.88169);(1.41675,-1.25471);(-0.0367638,-2.91583);(0.639243,2.66766);(-0.299736,-2.94962);(1.94248,1.4937);(1.0676,-2.88687);(0.461535,3.34126);(-0.203143,3.69953);(1.44509,-1.70483);(1.04249,1.22713);(1.43787,3.68771);(-1.88424,-2.85605);(-1.43034,3.79633);(-0.672667,0.906562);(0.604847,3.3307);(1.10652,1.22545);(-0.539522,-3.11639);(-0.340325,-2.79796);(-1.84261,-1.59774);(-0.42852,1.74529);(-1.30698,3.34175);(0.0222099,-1.66625);(-1.64541,2.82429);(-0.463267,2.25477);(0.991904,-3.32873);(0.804108,3.2849);(-1.91669,2.90374);(-1.82547,-4.02154);(-1.26863,-3.83476);(-1.44541,-2.95415);(0.469042,-3.28332);(-1.23935,-0.479949);(-1.41075,0.655414);(-1.59393,1.3203);(-1.1981,2.33944);(0.520693,0.88868);(-0.837444,0.405556);(-1.73831,-3.22278);(-1.91008,2.21831);(-1.86787,0.0838325);(-0.743769,0.430046);(-0.405826,1.48939);(-0.748538,-0.492588);(1.08073,-2.67382);(1.6861,0.273725);(-1.59284,-3.53221);(1.93518,-1.47072);(-1.64625,-1.54291);(-1.31833,3.55053);(-1.37853,2.66183);(-1.37228,-2.09665);(0.945788,-1.52985);(0.918394,-1.9695);(-0.0901336,2.14393);(0.763093,-3.95432);(1.03418,3.47202);(2.01187,3.04496);(-1.00162,-1.65627);(1.32415,-2.83256);(-1.08152,-0.96224);(1.28318,-3.43792);(-0.590552,-1.49975);(-0.703839,2.5204);(2.01859,-3.50299);(0.58008,-3.98705)
0.3;(-0.679234,1.50841);(-1.70002,0.503798);(0.145856,-2.80549);(2.14687,-0.351558);(-1.68825,-3.67352);(-0.242783,2.05859);(-0.844436,0.638995);(0.14909,1.02982);(-1.43386,-2.00754);(-0.0206258,2.87564);(-0.342984,-0.182764);(-1.59687,1.66051);(2.23507,3.13167);(0.34931,0.200546);(-0.895242,2.11764);(-0.846239,2.95783);(-0.00450192,1.58004);(-0.489784,2.41306);(-0.130509,-1.14111);(-1.11434,-0.557394);(-0.0831815,-0.184028);(0.850986,-0.754799);(-0.538861,-0.702421);(0.297379,-1.60356);(1.30707,1.82203);(0.726397,1.21277);(-1.85099,1.26946);(-1.31544,-0.233346);(2.01657,2.58545);(-0.597922,-3.72579);(-1.00997,-0.84307);(1.77561,0.789737);(1.05579,-0.601964);(2.24021,-3.36112);(-0.600467,-2.88652);(1.50029,-1.24851);(-0.0749677,-2.90437);(0.685473,2.70548);(-0.309429,-2.96037);(2.02568,1.54054);(1.1334,-2.92378);(0.43805,3.35417);(-0.187319,3.76711);(1.47223,-1.71502);(1.09002,1.27491);(1.49429,3.74502);(-1.92458,-2.89087);(-1.43915,3.85544);(-0.670915,0.90757);(0.649532,3.38282);(1.15793,1.27629);(-0.522914,-3.10253);(-0.339086,-2.82201);(-1.90172,-1.61191);(-0.426584,1.7645);(-1.32381,3.38726);(0.0622726,-1.65816);(-1.70093,2.8484);(-0.46488,2.26937);(1.04022,-3.3502);(0.860532,3.29438);(-1.98031,2.9361);(-1.85389,-4.07574);(-1.25,-3.92936);(-1.45506,-2.94724);(0.482767,-3.30669);(-1.25309,-0.503577);(-1.45733,0.581916);(-1.64692,1.3135);(-1.18764,2.38749);(0.516899,0.90364);(-0.870089,0.337894);(-1.75847,-3.28921);(-1.96243,2.21762);(-1.93938,0.0511223);(-0.760503,0.406689);(-0.391171,1.53436);(-0.795204,-0.437865);(1.14974,-2.70494);(1.77553,0.261466);(-1.62578,-3.59447);(2.03402,-1.46417);(-1.68863,-1.58023);(-1.34367,3.58532);(-1.45855,2.71313);(-1.40626,-2.08517);(0.955359,-1.55668);(0.952007,-1.97152);(-0.0751531,2.18651);(0.822367,-4.02254);(1.11926,3.51007);(2.07834,3.03417);(-1.01053,-1.70137);(1.38644,-2.85315);(-1.05519,-1.04972);(1.29879,-3.48514);(-0.580357,-1.51736);(-0.668417,2.57845);(2.07305,-3.50737);(0.653885,-4.04062)
0.35;(-0.695906,1.53295);(-1.78197,0.485713);(0.164674,-2.81552);(2.24251,-0.315808);(-1.69454,-3.71159);(-0.239193,2.12186);(-0.881892,0.68516);(0.204694,1.02419);(-1.45592,-2.02243);(0.00348401,2.9155);(-0.294118,-0.18184);(-1.60752,1.67544);(2.31508,3.1927);(0.362936,0.180483);(-0.929066,2.1304);(-0.889529,3.01835);(0.0387779,1.6061);(-0.491154,2.4079);(-0.130147,-1.10656);(-1.13912,-0.614251);(-0.086542,-0.203773);(0.93013,-0.751905);(-0.515631,-0.751601);(0.316385,-1.61133);(1.32821,1.80745);(0.739584,1.28329);(-1.90021,1.29462);(-1.31126,-0.266087);(2.03454,2.64234);(-0.60117,-3.77814);(-0.997343,-0.928239);(1.82552,0.802615);(1.10505,-0.595362);(2.33386,-3.37929);(-0.638391,-2.89137);(1.55286,-1.28157);(-0.0631722,-2.89316);(0.708493,2.78758);(-0.28748,-3.00467);(2.11304,1.53755);(1.15366,-2.94008);(0.451716,3.40054);(-0.167252,3.82623);(1.54923,-1.72892);(1.12286,1.29122);(1.54993,3.79474);(-1.98932,-2.96933);(-1.44174,3.90717);(-0.635544,0.945588);(0.696477,3.42776);(1.19028,1.28198);(-0.491672,-3.11872);(-0.325507,-2.85745);(-1.94893,-1.62901);(-0.4197,1.73395);(-1.3331,3.4268);(0.129016,-1.69236);(-1.74324,2.86867);(-0.471422,2.33373);(1.08984,-3.3675);(0.944515,3.34558);(-2.09247,2.98052);(-1.90302,-4.17544);(-1.22675,-4.01261);(-1.4923,-2.98203);(0.543262,-3.3124);(-1.25274,-0.57518);(-1.52704,0.552742);(-1.6881,1.30683);(-1.22388,2.41765);(0.557008,0.894673);(-0.90291,0.320232);(-1.77039,-3.34766);(-2.002,2.21592);(-1.99672,0.0234653);(-0.760218,0.430347);(-0.373126,1.57123);(-0.835327,-0.432712);(1.17645,-2.7094);(1.86494,0.2538);(-1.63747,-3.61148);(2.13314,-1.50762);(-1.76902,-1.58506);(-1.35983,3.61476);(-1.4901,2.75212);(-1.45954,-2.11981);(1.01473,-1.58794);(0.955563,-2.01191);(-0.0717197,2.18044);(0.881562,-4.08176);(1.20108,3.54236);(2.13747,3.07283);(-1.02847,-1.69728);(1.44821,-2.86991);(-1.00743,-1.09202);(1.31859,-3.52576);(-0.584743,-1.49293);(-0.676481,2.61183);(2.17178,-3.53498);(0.726318,-4.08671)
0.4;(-0.704709,1.55474);(-1.84677,0.469325);(0.154684,-2.86643);(2.33746,-0.288424);(-1.69363,-3.74405);(-0.229762,2.17828);(-0.879092,0.70167);(0.212138,1.00511);(-1.51094,-2.07492);(0.0286577,2.95465);(-0.282156,-0.203983);(-1.64654,1.73154);(2.38337,3.24571);(0.412294,0.195395);(-0.953432,2.17475);(-0.908351,3.03525);(0.0394909,1.65839);(-0.501036,2.45202);(-0.090919,-1.10347);(-1.19067,-0.628872);(-0.0661345,-0.179528);(1.00926,-0.749255);(-0.530271,-0.768133);(0.378574,-1.6443);(1.36458,1.84049);(0.795586,1.32799);(-1.93673,1.31684);(-1.35438,-0.282622);(2.08439,2.66069);(-0.598601,-3.82392);(-0.95546,-0.972862);(1.87695,0.813883);(1.15733,-0.58973);(2.40923,-3.39561);(-0.647858,-2.93732);(1.61513,-1.30126);(-0.0887838,-2.91512);(0.70342,2.82832);(-0.261119,-3.0431);(2.19608,1.53917);(1.21192,-2.92387);(0.469777,3.4413);(-0.143344,3.8777);(1.62399,-1.74039);(1.13816,1.26071);(1.60479,3.83753);(-2.03811,-3.03884);(-1.46859,4.00262);(-0.605373,0.933877);(0.771354,3.51418);(1.27094,1.30055);(-0.462192,-3.13721);(-0.304873,-2.89236);(-1.98408,-1.64378);(-0.38372,1.74407);(-1.37594,3.5034);(0.206925,-1.67782);(-1.77406,2.88545);(-0.457531,2.38615);(1.1835,-3.40847);(0.988815,3.4272);(-2.17575,3.01931);(-1.94002,-4.26315);(-1.19931,-4.08559);(-1.51978,-3.01212);(0.558373,-3.33908);(-1.2756,-0.602498);(-1.58253,0.526129);(-1.76971,1.32958);(-1.25076,2.44486);(0.572031,0.842454);(-0.922241,0.314256);(-1.77485,-3.39887);(-2.03072,2.21332);(-2.03544,0.00590588);(-0.778144,0.407439);(-0.381799,1.56585);(-0.82815,-0.443765);(1.20593,-2.76379);(1.95237,0.246718);(-1.64208,-3.62549);(2.21908,-1.54354);(-1.83763,-1.59646);(-1.38503,3.66709);(-1.51234,2.78614);(-1.50035,-2.15014);(1.0731,-1.5692);(0.994223,-2.01669);(-0.0985866,2.21414);(0.940637,-4.13297);(1.23903,3.59864);(2.24108,3.08867);(-1.04628,-1.7432);(1.55536,-2.86568);(-0.999458,-1.10404);(1.34216,-3.56037);(-0.560242,-1.50931);(-0.678503,2.64099);(2.25652,-3.55763);(0.797468,-4.12595)
0.45;(-0.706375,1.57404);(-1.89291,0.49932);(0.192989,-2.90439);(2.43148,-0.265252);(-1.70342,-3.78249);(-0.26173,2.20665);(-0.870303,0.716774);(0.230791,1.03476);(-1.55335,-2.12149);(0.0131634,3.00452);(-0.268797,-0.224847);(-1.68717,1.73767);(2.44244,3.2914);(0.448183,0.162156);(-0.934168,2.19468);(-0.963643,3.08637);(0.0741025,1.67392);(-0.504149,2.49088);(-0.0509709,-1.10927);(-1.20302,-0.674541);(-0.0667468,-0.20065);(1.09821,-0.740484);(-0.508663,-0.750224);(0.392685,-1.66354);(1.40722,1.87747);(0.847864,1.35974);(-1.96234,1.33637);(-1.38702,-0.297716);(2.13649,2.67535);(-0.60737,-3.89163);(-0.94419,-0.977952);(1.92974,0.823673);(1.21857,-0.570718);(2.5268,-3.43874);(-0.611122,-2.96416);(1.68183,-1.30995);(-0.0951577,-2.93802);(0.742903,2.89175);(-0.230769,-3.07617);(2.27093,1.53385);(1.25582,-2.95555);(0.492012,3.47624);(-0.115964,3.92221);(1.69192,-1.70233);(1.18134,1.27169);(1.65887,3.87401);(-2.07363,-3.1002);(-1.48758,4.08694);(-0.598471,0.966423);(0.84634,3.589);(1.34983,1.31629);(-0.481467,-3.1446);(-0.279948,-2.92244);(-2.00891,-1.65642);(-0.344326,1.75255);(-1.40848,3.57097);(0.267831,-1.68414);(-1.82651,2.94731);(-0.489681,2.41908);(1.22724,-3.4524);(1.03456,3.49898);(-2.23717,3.05298);(-1.96663,-4.34004);(-1.1681,-4.14929);(-1.53857,-3.03793);(0.622168,-3.37717);(-1.29111,-0.62727);(-1.63369,0.5363);(-1.8346,1.34971);(-1.26896,2.46837);(0.612692,0.833163);(-0.933983,0.308981);(-1.77254,-3.4435);(-2.10267,2.23584);(-2.09283,-0.0580375);(-0.791918,0.393858);(-0.383735,1.56059);(-0.816391,-0.454059);(1.24017,-2.807);(2.03796,0.240161);(-1.69346,-3.65718);(2.31623,-1.53074);(-1.89108,-1.60609);(-1.40101,3.7124);(-1.52501,2.86923);(-1.53016,-2.17652);(1.13243,-1.55147);(1.07975,-2.01495);(-0.0881404,2.21456);(0.999556,-4.17687);(1.27911,3.64728);(2.32633,3.10082);(-1.06291,-1.77511);(1.62031,-2.83464);(-1.02708,-1.15117);(1.36806,-3.5937);(-0.501398,-1.56203);(-0.718024,2.70322);(2.39125,-3.57982);(0.867412,-4.15895)
