time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;(-1.99997,-2.9477);(0.131069,-2.24833);(0.717186,3.47754);(1.32386,-3.72342);(0.684597,-3.93841);(-0.330056,1.49418);(1.38467,0.21543);(-0.336003,1.60952);(-0.950188,-3.62028);(0.530554,2.05128);(-1.01184,3.8604);(0.606074,-3.41851);(-0.90916,-0.508709);(-1.0489,-1.80075);(-0.0539305,3.18125);(1.61861,0.0361834);(1.94657,-0.0481865);(1.79106,-3.41001);(-0.891673,3.31054);(1.76392,-3.59933);(1.31127,-2.99708);(1.47299,1.03635);(1.99783,3.10858);(-0.595939,0.10619);(-0.351677,2.73209);(0.149216,-0.256661);(-1.38512,0.573238);(0.137799,-0.0121591);(0.218335,3.1259);(-1.36093,-2.29799)
0.05;(-2.00539,-2.94578);(0.137343,-2.24716);(0.722847,3.4755);(1.32969,-3.72097);(0.690958,-3.93577);(-0.337131,1.49363);(1.39164,0.215366);(-0.342571,1.60892);(-0.95589,-3.61807);(0.536043,2.0504);(-1.01783,3.85788);(0.612639,-3.41621);(-0.915621,-0.508821);(-1.05563,-1.79969);(-0.0610025,3.17909);(1.62535,0.0361675);(1.95371,-0.0481548);(1.79669,-3.40772);(-0.897264,3.30859);(1.76997,-3.59673);(1.3174,-2.99506);(1.47964,1.03582);(2.0038,3.10633);(-0.604115,0.106352);(-0.357629,2.73056);(0.156795,-0.258094);(-1.39292,0.572967);(0.146437,-0.0123425);(0.224854,3.12393);(-1.36777,-2.29634)
0.1;(-2.01572,-2.94211);(0.14931,-2.24495);(0.733646,3.4716);(1.34082,-3.7163);(0.703117,-3.93137);(-0.350632,1.49259);(1.405,0.215258);(-0.355126,1.60746);(-0.966766,-3.61384);(0.546791,2.04749);(-1.02933,3.85315);(0.625057,-3.41122);(-0.927951,-0.509031);(-1.06846,-1.79769);(-0.0722022,3.17894);(1.63999,-0.0132218);(1.96734,-0.0480941);(1.80748,-3.40337);(-0.907927,3.30488);(1.78151,-3.59179);(1.32914,-2.99117);(1.47943,1.08481);(2.01518,3.10203);(-0.619719,0.10666);(-0.371161,2.72394);(0.171291,-0.260824);(-1.40779,0.572451);(0.162863,-0.0127006);(0.237011,3.1214);(-1.3808,-2.2932)
0.15;(-2.03051,-2.93689);(0.166297,-2.24155);(0.74851,3.46797);(1.35661,-3.70985);(0.720433,-3.92482);(-0.369857,1.48605);(1.42466,0.215237);(-0.371537,1.56483);(-0.982334,-3.60778);(0.51578,2.07207);(-1.04823,3.84659);(0.642613,-3.40459);(-0.945589,-0.509226);(-1.08683,-1.7949);(-0.0869506,3.1764);(1.66044,-0.0563657);(1.98686,-0.0480072);(1.82333,-3.39755);(-0.923194,3.29956);(1.79807,-3.58504);(1.34563,-2.98626);(1.52005,1.10494);(2.03665,3.09889);(-0.642066,0.107094);(-0.391061,2.7622);(0.192128,-0.264695);(-1.4291,0.571709);(0.185868,-0.0133293);(0.252254,3.11813);(-1.39948,-2.28872)
0.2;(-2.04936,-2.93033);(0.187718,-2.23694);(0.767655,3.46263);(1.37662,-3.70175);(0.740962,-3.91826);(-0.393993,1.48029);(1.45017,0.215354);(-0.37742,1.56572);(-1.00216,-3.60012);(0.493348,2.0474);(-1.10049,3.87728);(0.664801,-3.39662);(-0.969532,-0.51118);(-1.11036,-1.79163);(-0.0699646,3.2125);(1.68615,-0.0940976);(2.01172,-0.0478957);(1.84389,-3.39031);(-0.94566,3.29377);(1.81921,-3.5766);(1.36773,-2.9784);(1.56363,1.12134);(2.06139,3.09508);(-0.684724,0.069011);(-0.442677,2.7618);(0.218808,-0.269521);(-1.45623,0.570759);(0.214676,-0.0142495);(0.259302,3.16418);(-1.42336,-2.28305)
0.25;(-2.07207,-2.92312);(0.213071,-2.23126);(0.79068,3.45574);(1.40043,-3.69212);(0.765938,-3.90967);(-0.463114,1.4527);(1.4809,0.215598);(-0.389357,1.56599);(-1.02579,-3.59098);(0.515898,2.04456);(-1.15349,3.90258);(0.691216,-3.38746);(-1.0158,-0.557876);(-1.13814,-1.79555);(-0.0616164,3.24306);(1.71654,-0.127046);(2.04143,-0.047761);(1.86844,-3.3818);(-0.971613,3.28656);(1.84443,-3.56661);(1.39358,-2.96981);(1.61035,1.13411);(2.08847,3.09072);(-0.708111,0.0770648);(-0.495306,2.75988);(0.250926,-0.27507);(-1.48865,0.569614);(0.248798,-0.015424);(0.272208,3.20394);(-1.45263,-2.27824)
0.3;(-2.10086,-2.91836);(0.242069,-2.22456);(0.817263,3.44759);(1.42764,-3.68108);(0.794936,-3.89923);(-0.512614,1.4711);(1.51637,0.215985);(-0.406791,1.5657);(-1.05257,-3.58098);(0.541792,2.04097);(-1.20712,3.92295);(0.721066,-3.37721);(-1.06087,-0.554586);(-1.16419,-1.84945);(-0.0611,3.26859);(1.7511,-0.155832);(2.07554,-0.0476058);(1.89678,-3.3721);(-1.00072,3.27809);(1.87337,-3.5552);(1.42282,-2.96046);(1.65892,1.1447);(2.11853,3.08451);(-0.720418,0.0363617);(-0.548838,2.75659);(0.287958,-0.281229);(-1.55871,0.535564);(0.287689,-0.0168481);(0.290421,3.23797);(-1.51164,-2.30288)
0.35;(-2.17757,-2.92791);(0.274308,-2.21681);(0.847089,3.43837);(1.45785,-3.66876);(0.827492,-3.8872);(-0.560482,1.43953);(1.55608,0.216521);(-0.429219,1.5649);(-1.07966,-3.59735);(0.570688,2.03663);(-1.26125,3.93884);(0.754547,-3.36612);(-1.1082,-0.55163);(-1.14882,-1.87532);(-0.0676849,3.28954);(1.78956,-0.180821);(2.11365,-0.0474379);(1.92811,-3.36129);(-1.03222,3.27181);(1.90541,-3.54246);(1.45515,-2.95029);(1.70917,1.15305);(2.15111,3.0766);(-0.739747,-0.000531081);(-0.607746,2.803);(0.329509,-0.287805);(-1.63007,0.504376);(0.330894,-0.0185026);(0.313442,3.26678);(-1.56362,-2.31252)
0.4;(-2.24604,-2.93463);(0.309598,-2.20832);(0.879865,3.42823);(1.491,-3.65514);(0.862835,-3.88929);(-0.610003,1.41211);(1.59961,0.217237);(-0.456189,1.56363);(-1.10988,-3.60997);(0.602275,2.03151);(-1.34696,3.9935);(0.789094,-3.33995);(-1.15863,-0.550697);(-1.1416,-1.89767);(-0.0807089,3.30631);(1.83147,-0.20243);(2.1554,-0.0472826);(1.96297,-3.34938);(-1.10397,3.29519);(1.94061,-3.5285);(1.49124,-2.93796);(1.76108,1.15876);(2.18576,3.06716);(-0.765432,-0.0340084);(-0.627916,2.81781);(0.375212,-0.294608);(-1.70259,0.475786);(0.377975,-0.0203787);(0.340808,3.29083);(-1.61684,-2.31956)
0.45;(-2.30751,-2.93878);(0.323587,-2.15459);(0.915313,3.41727);(1.52669,-3.64038);(0.901168,-3.88853);(-0.66135,1.38784);(1.64654,0.218093);(-0.48729,1.56196);(-1.1429,-3.61919);(0.636319,2.02574);(-1.42888,4.04041);(0.848916,-3.35691);(-1.21159,-0.550928);(-1.14175,-1.91681);(-0.0995711,3.31929);(1.87657,-0.221318);(2.20042,-0.0470987);(1.99953,-3.3365);(-1.17384,3.31442);(1.97792,-3.51343);(1.5296,-2.92515);(1.81478,1.16325);(2.22206,3.05632);(-0.79685,-0.0644189);(-0.652147,2.82962);(0.424737,-0.301281);(-1.77614,0.449586);(0.428708,-0.0223338);(0.372101,3.31056);(-1.67104,-2.32423)
