time;0;1
0;(-10,0.0001);(10,0)
0.005;(-9.99991,9.99995e-05);(9.99991,0)
0.01;(-9.99972,9.99986e-05);(9.99972,0)
0.015;(-9.99945,9.99972e-05);(9.99945,0)
0.02;(-9.99908,9.99954e-05);(9.99908,0)
0.025;(-9.99863,9.99931e-05);(9.99863,0)
0.03;(-9.99809,9.99904e-05);(9.99809,0)
0.035;(-9.99745,9.99873e-05);(9.99745,0)
0.04;(-9.99674,9.99837e-05);(9.99674,0)
0.045;(-9.99593,9.99797e-05);(9.99593,0)
0.05;(-9.99505,9.99752e-05);(9.99505,0)
0.055;(-9.99407,9.99704e-05);(9.99407,0)
0.06;(-9.99302,9.99651e-05);(9.99302,0)
0.065;(-9.99188,9.99594e-05);(9.99188,0)
0.07;(-9.99066,9.99533e-05);(9.99066,0)
0.075;(-9.98936,9.99468e-05);(9.98936,0)
0.08;(-9.98797,9.99399e-05);(9.98797,0)
0.085;(-9.98651,9.99325e-05);(9.98651,0)
0.09;(-9.98497,9.99248e-05);(9.98497,0)
0.095;(-9.98335,9.99167e-05);(9.98335,0)
0.1;(-9.98165,9.99083e-05);(9.98165,0)
0.105;(-9.97987,9.98994e-05);(9.97987,0)
0.11;(-9.97802,9.98901e-05);(9.97802,0)
0.115;(-9.9761,9.98805e-05);(9.9761,0)
0.12;(-9.9741,9.98705e-05);(9.9741,0)
0.125;(-9.97202,9.98601e-05);(9.97202,0)
0.13;(-9.96987,9.98494e-05);(9.96987,0)
0.135;(-9.96765,9.98383e-05);(9.96765,0)
0.14;(-9.96536,9.98268e-05);(9.96536,0)
0.145;(-9.96299,9.9815e-05);(9.96299,0)
0.15;(-9.96056,9.98028e-05);(9.96056,0)
0.155;(-9.95805,9.97903e-05);(9.95805,0)
0.16;(-9.95548,9.97774e-05);(9.95548,0)
0.165;(-9.95284,9.97642e-05);(9.95284,0)
0.17;(-9.95012,9.97506e-05);(9.95012,0)
0.175;(-9.94735,9.97367e-05);(9.94735,0)
0.18;(-9.9445,9.97225e-05);(9.9445,0)
0.185;(-9.94159,9.9708e-05);(9.94159,0)
0.19;(-9.93861,9.96931e-05);(9.93861,0)
0.195;(-9.93557,9.96779e-05);(9.93557,0)
0.2;(-9.93246,9.96623e-05);(9.93246,0)
0.205;(-9.92929,9.96465e-05);(9.92929,0)
0.21;(-9.92606,9.96303e-05);(9.92606,0)
0.215;(-9.92276,9.96138e-05);(9.92276,0)
0.22;(-9.9194,9.9597e-05);(9.9194,0)
0.225;(-9.91598,9.95799e-05);(9.91598,0)
0.23;(-9.9125,9.95625e-05);(9.9125,0)
0.235;(-9.90896,9.95448e-05);(9.90896,0)
0.24;(-9.90536,9.95268e-05);(9.90536,0)
0.245;(-9.90169,9.95085e-05);(9.90169,0)
0.25;(-9.89797,9.94899e-05);(9.89797,0)
0.255;(-9.8942,9.9471e-05);(9.8942,0)
0.26;(-9.89036,9.94518e-05);(9.89036,0)
0.265;(-9.88647,9.94324e-05);(9.88647,0)
0.27;(-9.88252,9.94126e-05);(9.88252,0)
0.275;(-9.87852,9.93926e-05);(9.87852,0)
0.28;(-9.87446,9.93723e-05);(9.87446,0)
0.285;(-9.87034,9.93517e-05);(9.87034,0)
0.29;(-9.86617,9.93309e-05);(9.86617,0)
0.295;(-9.86195,9.93097e-05);(9.86195,0)
0.3;(-9.85767,9.92884e-05);(9.85767,0)
0.305;(-9.85334,9.92667e-05);(9.85334,0)
0.31;(-9.84896,9.92448e-05);(9.84896,0)
0.315;(-9.84452,9.92226e-05);(9.84452,0)
0.32;(-9.84004,9.92002e-05);(9.84004,0)
0.325;(-9.8355,9.91775e-05);(9.8355,0)
0.33;(-9.83091,9.91546e-05);(9.83091,0)
0.335;(-9.82627,9.91314e-05);(9.82627,0)
0.34;(-9.82159,9.91079e-05);(9.82159,0)
0.345;(-9.81685,9.90842e-05);(9.81685,0)
0.35;(-9.81206,9.90603e-05);(9.81206,0)
0.355;(-9.80723,9.90361e-05);(9.80723,0)
0.36;(-9.80235,9.90117e-05);(9.80235,0)
0.365;(-9.79742,9.89871e-05);(9.79742,0)
0.37;(-9.79244,9.89622e-05);(9.79244,0)
0.375;(-9.78742,9.89371e-05);(9.78742,0)
0.38;(-9.78235,9.89117e-05);(9.78235,0)
0.385;(-9.77724,9.88862e-05);(9.77724,0)
0.39;(-9.77208,9.88604e-05);(9.77208,0)
0.395;(-9.76687,9.88344e-05);(9.76687,0)
0.4;(-9.76162,9.88081e-05);(9.76162,0)
0.405;(-9.75633,9.87816e-05);(9.75633,0)
0.41;(-9.75099,9.8755e-05);(9.75099,0)
0.415;(-9.74561,9.87281e-05);(9.74561,0)
0.42;(-9.74019,9.8701e-05);(9.74019,0)
0.425;(-9.73473,9.86736e-05);(9.73473,0)
0.43;(-9.72922,9.86461e-05);(9.72922,0)
0.435;(-9.72367,9.86184e-05);(9.72367,0)
0.44;(-9.71808,9.85904e-05);(9.71808,0)
0.445;(-9.71245,9.85623e-05);(9.71245,0)
0.45;(-9.70678,9.85339e-05);(9.70678,0)
0.455;(-9.70107,9.85053e-05);(9.70107,0)
0.46;(-9.69532,9.84766e-05);(9.69532,0)
0.465;(-9.68953,9.84476e-05);(9.68953,0)
0.47;(-9.6837,9.84185e-05);(9.6837,0)
0.475;(-9.67783,9.83892e-05);(9.67783,0)
0.48;(-9.67193,9.83596e-05);(9.67193,0)
0.485;(-9.66598,9.83299e-05);(9.66598,0)
0.49;(-9.66,9.83e-05);(9.66,0)
0.495;(-9.65398,9.82699e-05);(9.65398,0)
0.5;(-9.64793,9.82396e-05);(9.64793,0)
0.505;(-9.64184,9.82092e-05);(9.64184,0)
0.51;(-9.63571,9.81785e-05);(9.63571,0)
0.515;(-9.62954,9.81477e-05);(9.62954,0)
0.52;(-9.62334,9.81167e-05);(9.62334,0)
0.525;(-9.61711,9.80856e-05);(9.61711,0)
0.53;(-9.61084,9.80542e-05);(9.61084,0)
0.535;(-9.60454,9.80227e-05);(9.60454,0)
0.54;(-9.5982,9.7991e-05);(9.5982,0)
0.545;(-9.59182,9.79591e-05);(9.59182,0)
0.55;(-9.58542,9.79271e-05);(9.58542,0)
0.555;(-9.57898,9.78949e-05);(9.57898,0)
0.56;(-9.57251,9.78625e-05);(9.57251,0)
0.565;(-9.566,9.783e-05);(9.566,0)
0.57;(-9.55947,9.77973e-05);(9.55947,0)
0.575;(-9.5529,9.77645e-05);(9.5529,0)
0.58;(-9.5463,9.77315e-05);(9.5463,0)
0.585;(-9.53966,9.76983e-05);(9.53966,0)
0.59;(-9.533,9.7665e-05);(9.533,0)
0.595;(-9.5263,9.76315e-05);(9.5263,0)
0.6;(-9.51958,9.75979e-05);(9.51958,0)
0.605;(-9.51282,9.75641e-05);(9.51282,0)
0.61;(-9.50604,9.75302e-05);(9.50604,0)
0.615;(-9.49922,9.74961e-05);(9.49922,0)
0.62;(-9.49238,9.74619e-05);(9.49238,0)
0.625;(-9.4855,9.74275e-05);(9.4855,0)
0.63;(-9.4786,9.7393e-05);(9.4786,0)
0.635;(-9.47167,9.73584e-05);(9.47167,0)
0.64;(-9.46471,9.73236e-05);(9.46471,0)
0.645;(-9.45772,9.72886e-05);(9.45772,0)
0.65;(-9.45071,9.72536e-05);(9.45071,0)
0.655;(-9.44366,9.72183e-05);(9.44366,0)
0.66;(-9.43659,9.7183e-05);(9.43659,0)
0.665;(-9.42949,9.71475e-05);(9.42949,0)
0.67;(-9.42237,9.71119e-05);(9.42237,0)
0.675;(-9.41522,9.70761e-05);(9.41522,0)
0.68;(-9.40804,9.70402e-05);(9.40804,0)
0.685;(-9.40083,9.70042e-05);(9.40083,0)
0.69;(-9.3936,9.6968e-05);(9.3936,0)
0.695;(-9.38635,9.69318e-05);(9.38635,0)
0.7;(-9.37907,9.68954e-05);(9.37907,0)
0.705;(-9.37176,9.68588e-05);(9.37176,0)
0.71;(-9.36443,9.68222e-05);(9.36443,0)
0.714999;(-9.35707,9.67854e-05);(9.35707,0)
0.719999;(-9.34969,9.67485e-05);(9.34969,0)
0.724999;(-9.34229,9.67115e-05);(9.34229,0)
0.729999;(-9.33486,9.66743e-05);(9.33486,0)
0.734999;(-9.32741,9.66371e-05);(9.32741,0)
0.739999;(-9.31993,9.65997e-05);(9.31993,0)
0.744999;(-9.31243,9.65622e-05);(9.31243,0)
0.749999;(-9.30491,9.65246e-05);(9.30491,0)
0.754999;(-9.29737,9.64869e-05);(9.29737,0)
0.759999;(-9.2898,9.6449e-05);(9.2898,0)
0.764999;(-9.28221,9.64111e-05);(9.28221,0)
