time;0;1
0;(-10,0.0001);(10,0)
0.05;(-9.99074,9.99537e-05);(9.99074,0)
0.1;(-9.97308,9.98654e-05);(9.97308,0)
0.15;(-9.94779,9.9739e-05);(9.94779,0)
0.2;(-9.91559,9.95779e-05);(9.91559,0)
0.25;(-9.87711,9.93855e-05);(9.87711,0)
0.3;(-9.83293,9.91647e-05);(9.83293,0)
0.35;(-9.78359,9.89179e-05);(9.78359,0)
0.4;(-9.72955,9.86478e-05);(9.72955,0)
0.45;(-9.67126,9.83563e-05);(9.67126,0)
0.5;(-9.60911,9.80455e-05);(9.60911,0)
0.55;(-9.54345,9.77172e-05);(9.54345,0)
0.6;(-9.47461,9.7373e-05);(9.47461,0)
0.65;(-9.40289,9.70144e-05);(9.40289,0)
0.7;(-9.32855,9.66427e-05);(9.32855,0)
0.75;(-9.25183,9.62591e-05);(9.25183,0)
0.8;(-9.17296,9.58648e-05);(9.17296,0)
0.85;(-9.09213,9.54606e-05);(9.09213,0)
0.9;(-9.00952,9.50476e-05);(9.00952,0)
0.95;(-8.92531,9.46265e-05);(8.92531,0)
1;(-8.83963,9.41981e-05);(8.83963,0)
1.05;(-8.75263,9.37631e-05);(8.75263,0)
1.1;(-8.66442,9.33221e-05);(8.66442,0)
1.15;(-8.57512,9.28756e-05);(8.57512,0)
1.2;(-8.48483,9.24242e-05);(8.48483,0)
1.25;(-8.39365,9.19682e-05);(8.39365,0)
1.3;(-8.30164,9.15082e-05);(8.30164,0)
1.35;(-8.2089,9.10445e-05);(8.2089,0)
1.4;(-8.11548,9.05774e-05);(8.11548,0)
1.45;(-8.02146,9.01073e-05);(8.02146,0)
1.5;(-7.92688,8.96344e-05);(7.92688,0)
1.55;(-7.8318,8.9159e-05);(7.8318,0)
1.6;(-7.73626,8.86813e-05);(7.73626,0)
1.65;(-7.64031,8.82015e-05);(7.64031,0)
1.7;(-7.54398,8.77199e-05);(7.54398,0)
1.75;(-7.44732,8.72366e-05);(7.44732,0)
1.8;(-7.35035,8.67517e-05);(7.35035,0)
1.85;(-7.25309,8.62654e-05);(7.25309,0)
1.9;(-7.15558,8.57779e-05);(7.15558,0)
1.95;(-7.05784,8.52892e-05);(7.05784,0)
2;(-6.9599,8.47995e-05);(6.9599,0)
2.05;(-6.86176,8.43088e-05);(6.86176,0)
2.1;(-6.76345,8.38172e-05);(6.76345,0)
2.15;(-6.66498,8.33249e-05);(6.66498,0)
2.2;(-6.56637,8.28318e-05);(6.56637,0)
2.25;(-6.46763,8.23381e-05);(6.46763,0)
2.3;(-6.36878,8.18439e-05);(6.36878,0)
2.35;(-6.26982,8.13491e-05);(6.26982,0)
2.4;(-6.17076,8.08538e-05);(6.17076,0)
2.45;(-6.07161,8.03581e-05);(6.07161,0)
2.5;(-5.97239,7.9862e-05);(5.97239,0)
2.55;(-5.8731,7.93655e-05);(5.8731,0)
2.6;(-5.77374,7.88687e-05);(5.77374,0)
2.65;(-5.67431,7.83716e-05);(5.67431,0)
2.7;(-5.57484,7.78742e-05);(5.57484,0)
2.75;(-5.47532,7.73766e-05);(5.47532,0)
2.8;(-5.37575,7.68788e-05);(5.37575,0)
2.85;(-5.27615,7.63807e-05);(5.27615,0)
2.9;(-5.1765,7.58825e-05);(5.1765,0)
2.95;(-5.07683,7.53841e-05);(5.07683,0)
3;(-4.97712,7.48856e-05);(4.97712,0)
3.05;(-4.8775,7.43926e-05);(4.8775,-5.67187e-09)
3.1;(-4.77795,7.39051e-05);(4.77795,-1.69919e-08)
3.15;(-4.67849,7.34232e-05);(4.67849,-3.39876e-08)
3.2;(-4.57912,7.2947e-05);(4.57912,-5.674e-08)
3.25;(-4.47984,7.24765e-05);(4.47984,-8.53867e-08)
3.3;(-4.38065,7.20121e-05);(4.38065,-1.20126e-07)
3.35;(-4.28156,7.1554e-05);(4.28156,-1.61222e-07)
3.4;(-4.18257,7.11024e-05);(4.18257,-2.09013e-07)
3.45;(-4.0837,7.0658e-05);(4.0837,-2.63916e-07)
3.5;(-3.98495,7.02211e-05);(3.98495,-3.2644e-07)
3.55;(-3.88633,6.97925e-05);(3.88633,-3.97199e-07)
3.6;(-3.78786,6.93727e-05);(3.78786,-4.76925e-07)
3.65;(-3.68955,6.89628e-05);(3.68955,-5.6649e-07)
3.7;(-3.59141,6.85637e-05);(3.59141,-6.66925e-07)
3.75;(-3.49346,6.81768e-05);(3.49346,-7.79454e-07)
3.8;(-3.39573,6.78034e-05);(3.39573,-9.05526e-07)
3.85;(-3.29824,6.74452e-05);(3.29824,-1.04686e-06)
3.9;(-3.20101,6.71044e-05);(3.20101,-1.2055e-06)
3.95;(-3.10409,6.67833e-05);(3.10409,-1.38388e-06)
4;(-3.0075,6.64849e-05);(3.0075,-1.58491e-06)
4.05;(-2.9113,6.62127e-05);(2.9113,-1.81211e-06)
4.1;(-2.81554,6.5971e-05);(2.81554,-2.0697e-06)
4.15;(-2.72027,6.57649e-05);(2.72027,-2.36282e-06)
4.2;(-2.62557,6.56006e-05);(2.62557,-2.69775e-06)
4.25;(-2.53153,6.5486e-05);(2.53153,-3.08218e-06)
4.3;(-2.43824,6.54305e-05);(2.43824,-3.52566e-06)
4.35;(-2.34581,6.5446e-05);(2.34581,-4.04003e-06)
4.4;(-2.25438,6.55474e-05);(2.25438,-4.64017e-06)
4.45;(-2.16412,6.57535e-05);(2.16412,-5.34486e-06)
4.5;(-2.07521,6.60883e-05);(2.07521,-6.17797e-06)
4.55;(-1.98786,6.65822e-05);(1.98786,-7.17013e-06)
4.6;(-1.90233,6.7275e-05);(1.90233,-8.36081e-06)
4.65;(-1.81889,6.82178e-05);(1.81889,-9.80133e-06)
4.7;(-1.73789,6.94778e-05);(1.73789,-1.15587e-05)
4.75;(-1.65966,7.11429e-05);(1.65966,-1.37207e-05)
4.8;(-1.58457,7.33287e-05);(1.58457,-1.64032e-05)
4.85;(-1.51302,7.61878e-05);(1.51302,-1.97584e-05)
4.9;(-1.44536,7.99206e-05);(1.44536,-2.39867e-05)
4.95;(-1.38189,8.47899e-05);(1.38189,-2.93509e-05)
5;(-1.32284,9.11381e-05);(1.32284,-3.61932e-05)
5.05;(-1.2683,9.94087e-05);(1.2683,-4.49572e-05)
5.1;(-1.21825,0.000110172);(1.21825,-5.62133e-05)
5.15;(-1.17251,0.000124161);(1.17251,-7.06931e-05)
5.2;(-1.13081,0.000142312);(1.13081,-8.9334e-05)
5.25;(-1.09281,0.00016583);(1.09281,-0.000113342)
5.3;(-1.05812,0.00019628);(1.05812,-0.000144279)
5.35;(-1.02639,0.000235704);(1.02639,-0.000184188)
5.4;(-0.997282,0.000286796);(0.997282,-0.000235765)
5.45;(-0.970489,0.000353138);(0.970489,-0.000302589)
5.5;(-0.945763,0.000439522);(0.945763,-0.000389453)
5.55;(-0.922885,0.000552389);(0.922885,-0.000502799)
5.6;(-0.90167,0.00070044);(0.90167,-0.000651325)
5.65;(-0.881957,0.000895479);(0.881957,-0.000846837)
5.7;(-0.863606,0.00115359);(0.863606,-0.00110542)
5.75;(-0.846493,0.00149678);(0.846493,-0.00144908)
5.8;(-0.830509,0.00195534);(0.830509,-0.00190811)
5.85;(-0.815557,0.0025711);(0.815557,-0.00252433)
5.9;(-0.801548,0.00340215);(0.801548,-0.00335584)
5.95;(-0.788401,0.00452959);(0.788401,-0.00448374)
6;(-0.776041,0.00606733);(0.776041,-0.00602193)
6.05;(-0.764392,0.0081765);(0.764392,-0.00813155)
6.10001;(-0.753373,0.0110874);(0.753373,-0.0110429)
6.15001;(-0.742882,0.0151345);(0.742882,-0.0150904)
6.20001;(-0.732767,0.0208206);(0.732767,-0.020777)
6.25001;(-0.722774,0.0289747);(0.722774,-0.0289315)
6.30001;(-0.712984,0.0421669);(0.712984,-0.0421242)
6.35001;(-0.694841,0.0541013);(0.694841,-0.0540589)
6.40001;(-0.713613,0.0859364);(0.713613,-0.0858945)
6.45001;(-0.721388,0.114749);(0.721388,-0.114708)
6.50001;(-0.719185,0.140796);(0.719185,-0.140755)
6.55001;(-0.707927,0.164309);(0.707927,-0.164268)
6.60001;(-0.688453,0.185502);(0.688453,-0.185462)
6.65001;(-0.661524,0.204573);(0.661524,-0.204533)
6.70001;(-0.627831,0.2217);(0.627831,-0.221661)
6.75001;(-0.627207,0.27633);(0.627207,-0.276291)
6.80001;(-0.617384,0.325662);(0.617384,-0.325623)
6.85001;(-0.599216,0.370142);(0.599216,-0.370103)
